GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
791.0,363.0,791.0,363.0,791.0,363.0,-1.0,-1.0,0.0,0.0
796.0,372.0,832.0,382.0,814.0,377.0,2.45,2.72,0.0,0.0
794.0,370.0,794.0,370.0,794.0,370.0,-1.0,-1.0,0.0,0.0
801.0,371.0,829.0,397.0,815.0,384.0,-1.0,-1.0,0.0,0.0
797.0,363.0,823.0,389.0,810.0,376.0,2.43,2.68,0.0,0.0
812.0,363.0,834.0,383.0,823.0,373.0,-1.0,-1.0,0.0,0.0
799.0,363.0,785.0,361.0,792.0,362.0,-1.0,-1.0,0.0,0.0
809.0,365.0,783.0,365.0,796.0,365.0,2.33,2.69,0.0,0.0
813.0,364.0,785.0,386.0,799.0,375.0,-1.0,-1.0,0.0,0.0
787.0,375.0,787.0,375.0,787.0,375.0,-1.0,-1.0,0.0,0.0
797.0,365.0,791.0,357.0,794.0,361.0,2.41,2.39,0.0,0.0
792.0,366.0,808.0,370.0,800.0,368.0,-1.0,-1.0,0.0,0.0
807.0,366.0,801.0,423.0,804.0,394.0,-1.0,-1.0,0.0,0.0
807.0,366.0,810.0,405.0,808.0,385.0,2.51,2.63,0.0,0.0
814.0,363.0,792.0,410.0,803.0,386.0,-1.0,-1.0,0.0,0.0
814.0,367.0,809.0,384.0,811.0,375.0,-1.0,-1.0,0.0,0.0
805.0,361.0,805.0,397.0,805.0,379.0,2.37,2.63,0.0,0.0
775.0,342.0,808.0,394.0,791.0,368.0,-1.0,-1.0,0.0,0.0
764.0,334.0,805.0,405.0,784.0,369.0,-1.0,-1.0,0.0,0.0
772.0,343.0,805.0,391.0,788.0,367.0,2.47,2.47,0.0,0.0
810.0,389.0,799.0,418.0,804.0,403.0,-1.0,-1.0,0.0,0.0
806.0,385.0,800.0,410.0,803.0,397.0,-1.0,-1.0,0.0,0.0
815.0,401.0,800.0,426.0,807.0,413.0,2.6,2.58,0.0,0.0
796.0,370.0,797.0,414.0,796.0,392.0,-1.0,-1.0,0.0,0.0
810.0,393.0,804.0,391.0,807.0,392.0,-1.0,-1.0,0.0,0.0
795.0,384.0,803.0,371.0,799.0,377.0,2.5,2.42,0.0,0.0
802.0,395.0,800.0,380.0,801.0,387.0,-1.0,-1.0,0.0,0.0
777.0,415.0,777.0,415.0,777.0,415.0,-1.0,-1.0,0.0,0.0
811.0,376.0,811.0,376.0,811.0,376.0,2.43,2.43,0.0,0.0
789.0,415.0,789.0,415.0,789.0,415.0,-1.0,-1.0,0.0,0.0
798.0,411.0,798.0,411.0,798.0,411.0,-1.0,-1.0,0.0,0.0
813.0,395.0,805.0,411.0,809.0,403.0,2.44,2.41,0.0,0.0
813.0,372.0,813.0,372.0,813.0,372.0,-1.0,-1.0,0.0,0.0
811.0,406.0,816.0,389.0,813.0,397.0,-1.0,-1.0,0.0,0.0
809.0,375.0,818.0,407.0,813.0,391.0,2.47,2.54,0.0,0.0
817.0,379.0,818.0,407.0,817.0,393.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
797.0,400.0,811.0,431.0,804.0,415.0,2.49,2.82,0.0,0.0
