GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
962.0,486.0,986.0,536.0,974.0,511.0,-1.0,-1.0,0.0,0.0
972.0,485.0,992.0,536.0,982.0,510.0,-1.0,-1.0,0.0,0.0
969.0,488.0,996.0,536.0,982.0,512.0,3.12,3.17,0.0,0.0
944.0,500.0,1001.0,539.0,972.0,519.0,-1.0,-1.0,0.0,0.0
944.0,500.0,995.0,540.0,969.0,520.0,-1.0,-1.0,0.0,0.0
971.0,494.0,990.0,546.0,980.0,520.0,3.03,3.16,0.0,0.0
951.0,468.0,996.0,566.0,973.0,517.0,-1.0,-1.0,0.0,0.0
951.0,468.0,992.0,551.0,971.0,509.0,-1.0,-1.0,0.0,0.0
948.0,480.0,989.0,556.0,968.0,518.0,3.12,3.19,0.0,0.0
964.0,471.0,985.0,570.0,974.0,520.0,-1.0,-1.0,0.0,0.0
962.0,475.0,984.0,603.0,973.0,539.0,-1.0,-1.0,0.0,0.0
961.0,473.0,990.0,583.0,975.0,528.0,3.05,3.16,0.0,0.0
947.0,477.0,990.0,583.0,968.0,530.0,-1.0,-1.0,0.0,0.0
947.0,477.0,989.0,579.0,968.0,528.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
945.0,472.0,989.0,579.0,967.0,525.0,-1.0,-1.0,0.0,0.0
970.0,485.0,995.0,539.0,982.0,512.0,-1.0,-1.0,0.0,0.0
972.0,490.0,1005.0,538.0,988.0,514.0,3.1,3.16,0.0,0.0
971.0,493.0,1006.0,534.0,988.0,513.0,-1.0,-1.0,0.0,0.0
975.0,490.0,1007.0,543.0,991.0,516.0,-1.0,-1.0,0.0,0.0
975.0,499.0,997.0,551.0,986.0,525.0,3.16,3.2,0.0,0.0
978.0,502.0,994.0,550.0,986.0,526.0,-1.0,-1.0,0.0,0.0
967.0,507.0,996.0,558.0,981.0,532.0,-1.0,-1.0,0.0,0.0
951.0,482.0,1001.0,575.0,976.0,528.0,3.1,3.16,0.0,0.0
968.0,488.0,1000.0,575.0,984.0,531.0,-1.0,-1.0,0.0,0.0
976.0,487.0,1021.0,535.0,998.0,511.0,-1.0,-1.0,0.0,0.0
954.0,462.0,1021.0,536.0,987.0,499.0,3.05,3.18,0.0,0.0
955.0,463.0,1017.0,540.0,986.0,501.0,-1.0,-1.0,0.0,0.0
955.0,463.0,993.0,544.0,974.0,503.0,-1.0,-1.0,0.0,0.0
950.0,471.0,962.0,514.0,956.0,492.0,3.12,3.21,0.0,0.0
938.0,444.0,949.0,497.0,943.0,470.0,-1.0,-1.0,0.0,0.0
923.0,387.0,936.0,448.0,929.0,417.0,-1.0,-1.0,0.0,0.0
924.0,383.0,946.0,415.0,935.0,399.0,3.1,3.15,0.0,0.0
934.0,358.0,951.0,416.0,942.0,387.0,-1.0,-1.0,0.0,0.0
915.0,413.0,952.0,444.0,933.0,428.0,-1.0,-1.0,0.0,0.0
919.0,408.0,951.0,441.0,935.0,424.0,3.12,3.19,0.0,0.0
919.0,408.0,951.0,441.0,935.0,424.0,-1.0,-1.0,0.0,0.0
