GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
828.0,466.0,840.0,463.0,834.0,464.0,2.22,2.13,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
832.0,444.0,839.0,483.0,835.0,463.0,-1.0,-1.0,0.0,0.0
834.0,444.0,837.0,459.0,835.0,451.0,2.29,1.93,0.0,0.0
847.0,475.0,845.0,437.0,846.0,456.0,-1.0,-1.0,0.0,0.0
844.0,475.0,847.0,439.0,845.0,457.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
852.0,463.0,841.0,450.0,846.0,456.0,-1.0,-1.0,0.0,0.0
854.0,464.0,837.0,450.0,845.0,457.0,-1.0,-1.0,0.0,0.0
838.0,459.0,838.0,459.0,838.0,459.0,2.05,2.05,0.0,0.0
858.0,455.0,849.0,457.0,853.0,456.0,-1.0,-1.0,0.0,0.0
897.0,457.0,876.0,458.0,886.0,457.0,-1.0,-1.0,0.0,0.0
908.0,469.0,908.0,469.0,908.0,469.0,2.07,2.07,0.0,0.0
963.0,447.0,927.0,488.0,945.0,467.0,-1.0,-1.0,0.0,0.0
1098.0,465.0,1084.0,473.0,1091.0,469.0,-1.0,-1.0,0.0,0.0
1093.0,470.0,1081.0,525.0,1087.0,497.0,2.26,2.11,0.0,0.0
1098.0,458.0,1081.0,525.0,1089.0,491.0,-1.0,-1.0,0.0,0.0
1094.0,466.0,1102.0,524.0,1098.0,495.0,-1.0,-1.0,0.0,0.0
1106.0,456.0,1111.0,516.0,1108.0,486.0,2.25,2.06,0.0,0.0
1104.0,438.0,1111.0,515.0,1107.0,476.0,-1.0,-1.0,0.0,0.0
1104.0,438.0,1108.0,516.0,1106.0,477.0,-1.0,-1.0,0.0,0.0
1108.0,478.0,1092.0,529.0,1100.0,503.0,2.32,2.07,0.0,0.0
1109.0,478.0,1091.0,529.0,1100.0,503.0,-1.0,-1.0,0.0,0.0
1108.0,481.0,1077.0,536.0,1092.0,508.0,-1.0,-1.0,0.0,0.0
1110.0,471.0,1088.0,534.0,1099.0,502.0,2.25,2.15,0.0,0.0
1128.0,466.0,1088.0,534.0,1108.0,500.0,-1.0,-1.0,0.0,0.0
1121.0,460.0,1096.0,526.0,1108.0,493.0,-1.0,-1.0,0.0,0.0
1122.0,461.0,1100.0,519.0,1111.0,490.0,2.16,2.06,0.0,0.0
1116.0,460.0,1100.0,519.0,1108.0,489.0,-1.0,-1.0,0.0,0.0
1116.0,460.0,1117.0,520.0,1116.0,490.0,-1.0,-1.0,0.0,0.0
1112.0,487.0,1111.0,517.0,1111.0,502.0,2.31,2.03,0.0,0.0
1107.0,484.0,1112.0,499.0,1109.0,491.0,-1.0,-1.0,0.0,0.0
1072.0,498.0,1072.0,498.0,1072.0,498.0,-1.0,-1.0,0.0,0.0
1008.0,476.0,1008.0,476.0,1008.0,476.0,1.95,1.95,0.0,0.0
1102.0,499.0,895.0,440.0,998.0,469.0,-1.0,-1.0,0.0,0.0
934.0,499.0,894.0,440.0,914.0,469.0,-1.0,-1.0,0.0,0.0
811.0,479.0,832.0,458.0,821.0,468.0,2.12,1.96,0.0,0.0
802.0,477.0,814.0,445.0,808.0,461.0,-1.0,-1.0,0.0,0.0
810.0,462.0,815.0,458.0,812.0,460.0,-1.0,-1.0,0.0,0.0
799.0,479.0,799.0,479.0,799.0,479.0,2.01,2.01,0.0,0.0
808.0,462.0,799.0,480.0,803.0,471.0,-1.0,-1.0,0.0,0.0
819.0,474.0,807.0,481.0,813.0,477.0,-1.0,-1.0,0.0,0.0
795.0,478.0,795.0,478.0,795.0,478.0,2.07,2.07,0.0,0.0
819.0,498.0,787.0,478.0,803.0,488.0,-1.0,-1.0,0.0,0.0
822.0,479.0,778.0,480.0,800.0,479.0,-1.0,-1.0,0.0,0.0
822.0,479.0,807.0,472.0,814.0,475.0,1.99,2.82,0.0,0.0
810.0,451.0,807.0,468.0,808.0,459.0,-1.0,-1.0,0.0,0.0
799.0,497.0,813.0,463.0,806.0,480.0,-1.0,-1.0,0.0,0.0
799.0,481.0,798.0,461.0,798.0,471.0,2.11,1.99,0.0,0.0
800.0,483.0,807.0,460.0,803.0,471.0,-1.0,-1.0,0.0,0.0
799.0,475.0,793.0,458.0,796.0,466.0,-1.0,-1.0,0.0,0.0
797.0,456.0,797.0,456.0,797.0,456.0,1.95,1.95,0.0,0.0
805.0,474.0,773.0,448.0,789.0,461.0,-1.0,-1.0,0.0,0.0
806.0,472.0,772.0,448.0,789.0,460.0,-1.0,-1.0,0.0,0.0
777.0,446.0,777.0,446.0,777.0,446.0,2.02,2.02,0.0,0.0
797.0,473.0,816.0,461.0,806.0,467.0,-1.0,-1.0,0.0,0.0
806.0,475.0,810.0,461.0,808.0,468.0,-1.0,-1.0,0.0,0.0
804.0,465.0,804.0,465.0,804.0,465.0,1.87,1.87,0.0,0.0
805.0,475.0,803.0,475.0,804.0,475.0,-1.0,-1.0,0.0,0.0
802.0,480.0,805.0,474.0,803.0,477.0,-1.0,-1.0,0.0,0.0
810.0,476.0,810.0,476.0,810.0,476.0,1.99,1.99,0.0,0.0
794.0,476.0,811.0,484.0,802.0,480.0,-1.0,-1.0,0.0,0.0
805.0,478.0,813.0,482.0,809.0,480.0,-1.0,-1.0,0.0,0.0
813.0,482.0,813.0,482.0,813.0,482.0,1.89,1.89,0.0,0.0
806.0,473.0,812.0,450.0,809.0,461.0,-1.0,-1.0,0.0,0.0
812.0,454.0,812.0,454.0,812.0,454.0,-1.0,-1.0,0.0,0.0
814.0,470.0,814.0,470.0,814.0,470.0,2.25,2.25,0.0,0.0
819.0,477.0,809.0,483.0,814.0,480.0,-1.0,-1.0,0.0,0.0
808.0,463.0,802.0,491.0,805.0,477.0,-1.0,-1.0,0.0,0.0
801.0,436.0,800.0,474.0,800.0,455.0,1.97,1.85,0.0,0.0
788.0,430.0,795.0,475.0,791.0,452.0,-1.0,-1.0,0.0,0.0
788.0,467.0,808.0,477.0,798.0,472.0,-1.0,-1.0,0.0,0.0
810.0,477.0,810.0,477.0,810.0,477.0,1.9,1.9,0.0,0.0
796.0,446.0,804.0,442.0,800.0,444.0,-1.0,-1.0,0.0,0.0
798.0,485.0,804.0,442.0,801.0,463.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
801.0,486.0,806.0,476.0,803.0,481.0,-1.0,-1.0,0.0,0.0
804.0,486.0,807.0,474.0,805.0,480.0,-1.0,-1.0,0.0,0.0
803.0,479.0,803.0,479.0,803.0,479.0,2.0,2.0,0.0,0.0
805.0,477.0,803.0,479.0,804.0,478.0,-1.0,-1.0,0.0,0.0
804.0,463.0,820.0,474.0,812.0,468.0,-1.0,-1.0,0.0,0.0
823.0,472.0,823.0,472.0,823.0,472.0,2.0,2.0,0.0,0.0
792.0,465.0,830.0,463.0,811.0,464.0,-1.0,-1.0,0.0,0.0
791.0,470.0,809.0,468.0,800.0,469.0,-1.0,-1.0,0.0,0.0
808.0,465.0,808.0,465.0,808.0,465.0,1.91,1.91,0.0,0.0
788.0,483.0,803.0,470.0,795.0,476.0,-1.0,-1.0,0.0,0.0
811.0,466.0,811.0,466.0,811.0,466.0,-1.0,-1.0,0.0,0.0
813.0,471.0,813.0,471.0,813.0,471.0,1.95,1.95,0.0,0.0
799.0,462.0,807.0,477.0,803.0,469.0,-1.0,-1.0,0.0,0.0
807.0,473.0,814.0,486.0,810.0,479.0,-1.0,-1.0,0.0,0.0
812.0,474.0,812.0,474.0,812.0,474.0,1.82,1.82,0.0,0.0
801.0,484.0,834.0,451.0,817.0,467.0,-1.0,-1.0,0.0,0.0
800.0,478.0,829.0,446.0,814.0,462.0,-1.0,-1.0,0.0,0.0
828.0,458.0,828.0,458.0,828.0,458.0,1.98,1.98,0.0,0.0
809.0,462.0,802.0,465.0,805.0,463.0,-1.0,-1.0,0.0,0.0
806.0,464.0,802.0,449.0,804.0,456.0,-1.0,-1.0,0.0,0.0
805.0,467.0,805.0,467.0,805.0,467.0,2.02,2.02,0.0,0.0
811.0,481.0,815.0,460.0,813.0,470.0,-1.0,-1.0,0.0,0.0
809.0,486.0,819.0,462.0,814.0,474.0,-1.0,-1.0,0.0,0.0
808.0,481.0,818.0,462.0,813.0,471.0,2.27,1.87,0.0,0.0
798.0,476.0,829.0,458.0,813.0,467.0,-1.0,-1.0,0.0,0.0
798.0,475.0,807.0,463.0,802.0,469.0,-1.0,-1.0,0.0,0.0
819.0,482.0,819.0,482.0,819.0,482.0,2.63,2.63,0.0,0.0
810.0,481.0,808.0,480.0,809.0,480.0,-1.0,-1.0,0.0,0.0
807.0,483.0,808.0,481.0,807.0,482.0,-1.0,-1.0,0.0,0.0
799.0,477.0,799.0,477.0,799.0,477.0,1.97,1.97,0.0,0.0
785.0,478.0,801.0,477.0,793.0,477.0,-1.0,-1.0,0.0,0.0
800.0,478.0,808.0,483.0,804.0,480.0,-1.0,-1.0,0.0,0.0
818.0,486.0,818.0,486.0,818.0,486.0,2.48,2.48,0.0,0.0
831.0,494.0,820.0,499.0,825.0,496.0,-1.0,-1.0,0.0,0.0
820.0,494.0,820.0,499.0,820.0,496.0,-1.0,-1.0,0.0,0.0
817.0,494.0,815.0,496.0,816.0,495.0,1.98,1.87,0.0,0.0
803.0,497.0,797.0,479.0,800.0,488.0,-1.0,-1.0,0.0,0.0
821.0,496.0,797.0,479.0,809.0,487.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
828.0,495.0,816.0,505.0,822.0,500.0,-1.0,-1.0,0.0,0.0
832.0,497.0,823.0,490.0,827.0,493.0,-1.0,-1.0,0.0,0.0
826.0,492.0,826.0,492.0,826.0,492.0,1.83,1.83,0.0,0.0
