GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
803.0,461.0,817.0,435.0,810.0,448.0,-1.0,-1.0,0.0,0.0
793.0,482.0,809.0,438.0,801.0,460.0,2.95,2.77,0.0,0.0
784.0,478.0,810.0,444.0,797.0,461.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
801.0,460.0,810.0,447.0,805.0,453.0,2.98,2.75,0.0,0.0
805.0,475.0,809.0,447.0,807.0,461.0,-1.0,-1.0,0.0,0.0
805.0,475.0,811.0,448.0,808.0,461.0,-1.0,-1.0,0.0,0.0
806.0,477.0,805.0,457.0,805.0,467.0,2.95,2.77,0.0,0.0
803.0,450.0,809.0,497.0,806.0,473.0,-1.0,-1.0,0.0,0.0
792.0,471.0,809.0,497.0,800.0,484.0,-1.0,-1.0,0.0,0.0
791.0,474.0,821.0,459.0,806.0,466.0,2.97,2.71,0.0,0.0
795.0,478.0,802.0,451.0,798.0,464.0,-1.0,-1.0,0.0,0.0
800.0,482.0,802.0,451.0,801.0,466.0,-1.0,-1.0,0.0,0.0
798.0,467.0,805.0,454.0,801.0,460.0,2.87,2.75,0.0,0.0
796.0,463.0,800.0,460.0,798.0,461.0,-1.0,-1.0,0.0,0.0
796.0,462.0,803.0,436.0,799.0,449.0,-1.0,-1.0,0.0,0.0
802.0,481.0,801.0,446.0,801.0,463.0,2.87,2.74,0.0,0.0
794.0,473.0,801.0,446.0,797.0,459.0,-1.0,-1.0,0.0,0.0
792.0,475.0,804.0,479.0,798.0,477.0,-1.0,-1.0,0.0,0.0
793.0,475.0,815.0,483.0,804.0,479.0,2.99,2.86,0.0,0.0
795.0,477.0,815.0,483.0,805.0,480.0,-1.0,-1.0,0.0,0.0
804.0,468.0,801.0,471.0,802.0,469.0,-1.0,-1.0,0.0,0.0
803.0,474.0,794.0,461.0,798.0,467.0,2.97,2.75,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
794.0,484.0,801.0,443.0,797.0,463.0,-1.0,-1.0,0.0,0.0
791.0,474.0,804.0,447.0,797.0,460.0,2.85,2.75,0.0,0.0
786.0,470.0,800.0,446.0,793.0,458.0,-1.0,-1.0,0.0,0.0
791.0,458.0,796.0,444.0,793.0,451.0,-1.0,-1.0,0.0,0.0
795.0,464.0,794.0,446.0,794.0,455.0,2.97,2.78,0.0,0.0
