GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
651.0,402.0,651.0,402.0,651.0,402.0,-1.0,-1.0,0.0,0.0
568.0,300.0,657.0,390.0,612.0,345.0,-1.0,-1.0,0.0,0.0
568.0,300.0,662.0,390.0,615.0,345.0,3.45,3.49,0.0,0.0
653.0,375.0,653.0,375.0,653.0,375.0,-1.0,-1.0,0.0,0.0
623.0,330.0,650.0,380.0,636.0,355.0,-1.0,-1.0,0.0,0.0
617.0,321.0,644.0,381.0,630.0,351.0,3.45,3.49,0.0,0.0
655.0,388.0,655.0,388.0,655.0,388.0,-1.0,-1.0,0.0,0.0
617.0,323.0,650.0,395.0,633.0,359.0,-1.0,-1.0,0.0,0.0
612.0,320.0,692.0,435.0,652.0,377.0,3.45,2.71,0.0,0.0
699.0,446.0,699.0,446.0,699.0,446.0,-1.0,-1.0,0.0,0.0
608.0,358.0,694.0,446.0,651.0,402.0,-1.0,-1.0,0.0,0.0
611.0,369.0,611.0,369.0,611.0,369.0,3.5,3.5,0.0,0.0
664.0,412.0,664.0,412.0,664.0,412.0,-1.0,-1.0,0.0,0.0
611.0,329.0,656.0,412.0,633.0,370.0,-1.0,-1.0,0.0,0.0
612.0,319.0,639.0,372.0,625.0,345.0,3.47,3.35,0.0,0.0
659.0,402.0,659.0,402.0,659.0,402.0,-1.0,-1.0,0.0,0.0
621.0,319.0,662.0,404.0,641.0,361.0,-1.0,-1.0,0.0,0.0
620.0,328.0,659.0,406.0,639.0,367.0,3.42,3.33,0.0,0.0
669.0,406.0,669.0,406.0,669.0,406.0,-1.0,-1.0,0.0,0.0
623.0,345.0,694.0,373.0,658.0,359.0,-1.0,-1.0,0.0,0.0
620.0,341.0,693.0,376.0,656.0,358.0,3.47,3.32,0.0,0.0
692.0,379.0,692.0,379.0,692.0,379.0,-1.0,-1.0,0.0,0.0
616.0,335.0,661.0,425.0,638.0,380.0,-1.0,-1.0,0.0,0.0
616.0,344.0,653.0,412.0,634.0,378.0,3.4,3.41,0.0,0.0
650.0,397.0,650.0,397.0,650.0,397.0,-1.0,-1.0,0.0,0.0
619.0,356.0,664.0,394.0,641.0,375.0,-1.0,-1.0,0.0,0.0
622.0,360.0,666.0,395.0,644.0,377.0,3.4,3.42,0.0,0.0
665.0,398.0,665.0,398.0,665.0,398.0,-1.0,-1.0,0.0,0.0
655.0,409.0,655.0,409.0,655.0,409.0,-1.0,-1.0,0.0,0.0
632.0,365.0,655.0,404.0,643.0,384.0,3.42,3.42,0.0,0.0
654.0,412.0,654.0,412.0,654.0,412.0,-1.0,-1.0,0.0,0.0
672.0,364.0,672.0,364.0,672.0,364.0,-1.0,-1.0,0.0,0.0
594.0,274.0,634.0,312.0,614.0,293.0,3.45,3.47,0.0,0.0
635.0,313.0,635.0,313.0,635.0,313.0,-1.0,-1.0,0.0,0.0
562.0,266.0,562.0,266.0,562.0,266.0,-1.0,-1.0,0.0,0.0
444.0,163.0,510.0,223.0,477.0,193.0,3.41,3.48,0.0,0.0
444.0,196.0,444.0,196.0,444.0,196.0,-1.0,-1.0,0.0,0.0
424.0,131.0,428.0,152.0,426.0,141.0,-1.0,-1.0,0.0,0.0
398.0,112.0,425.0,154.0,411.0,133.0,3.41,3.51,0.0,0.0
426.0,140.0,426.0,140.0,426.0,140.0,-1.0,-1.0,0.0,0.0
420.0,99.0,420.0,99.0,420.0,99.0,-1.0,-1.0,0.0,0.0
394.0,109.0,421.0,118.0,407.0,113.0,3.4,3.48,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
381.0,118.0,417.0,124.0,399.0,121.0,-1.0,-1.0,0.0,0.0
388.0,128.0,418.0,123.0,403.0,125.0,3.3,3.41,0.0,0.0
414.0,134.0,414.0,134.0,414.0,134.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
312.0,36.0,407.0,126.0,359.0,81.0,3.31,3.38,0.0,0.0
217.0,107.0,217.0,107.0,217.0,107.0,-1.0,-1.0,0.0,0.0
259.0,12.0,223.0,93.0,241.0,52.0,-1.0,-1.0,0.0,0.0
230.0,79.0,223.0,96.0,226.0,87.0,3.24,3.36,0.0,0.0
214.0,96.0,214.0,96.0,214.0,96.0,-1.0,-1.0,0.0,0.0
234.0,47.0,211.0,102.0,222.0,74.0,-1.0,-1.0,0.0,0.0
246.0,21.0,203.0,103.0,224.0,62.0,3.23,3.31,0.0,0.0
217.0,106.0,217.0,106.0,217.0,106.0,-1.0,-1.0,0.0,0.0
245.0,61.0,212.0,118.0,228.0,89.0,-1.0,-1.0,0.0,0.0
248.0,64.0,215.0,123.0,231.0,93.0,3.19,3.27,0.0,0.0
208.0,98.0,208.0,98.0,208.0,98.0,-1.0,-1.0,0.0,0.0
232.0,59.0,215.0,93.0,223.0,76.0,-1.0,-1.0,0.0,0.0
230.0,57.0,218.0,90.0,224.0,73.0,3.17,3.22,0.0,0.0
221.0,92.0,221.0,92.0,221.0,92.0,-1.0,-1.0,0.0,0.0
205.0,27.0,198.0,95.0,201.0,61.0,-1.0,-1.0,0.0,0.0
170.0,-15.0,164.0,72.0,167.0,28.0,3.14,3.16,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175.0,-2.0,170.0,68.0,172.0,33.0,-1.0,-1.0,0.0,0.0
188.0,8.0,183.0,80.0,185.0,44.0,3.14,3.02,0.0,0.0
171.0,85.0,171.0,85.0,171.0,85.0,-1.0,-1.0,0.0,0.0
193.0,13.0,170.0,78.0,181.0,45.0,-1.0,-1.0,0.0,0.0
189.0,12.0,171.0,74.0,180.0,43.0,3.1,3.09,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180.0,19.0,168.0,83.0,174.0,51.0,-1.0,-1.0,0.0,0.0
182.0,35.0,170.0,85.0,176.0,60.0,3.06,3.1,0.0,0.0
171.0,82.0,171.0,82.0,171.0,82.0,-1.0,-1.0,0.0,0.0
178.0,29.0,167.0,98.0,172.0,63.0,-1.0,-1.0,0.0,0.0
179.0,29.0,172.0,81.0,175.0,55.0,3.07,3.06,0.0,0.0
159.0,84.0,159.0,84.0,159.0,84.0,-1.0,-1.0,0.0,0.0
189.0,25.0,155.0,73.0,172.0,49.0,-1.0,-1.0,0.0,0.0
184.0,31.0,146.0,89.0,165.0,60.0,3.04,3.06,0.0,0.0
154.0,80.0,154.0,80.0,154.0,80.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
195.0,37.0,155.0,81.0,175.0,59.0,3.02,3.05,0.0,0.0
155.0,93.0,155.0,93.0,155.0,93.0,-1.0,-1.0,0.0,0.0
196.0,48.0,159.0,86.0,177.0,67.0,-1.0,-1.0,0.0,0.0
194.0,53.0,159.0,86.0,176.0,69.0,2.98,3.0,0.0,0.0
144.0,86.0,144.0,86.0,144.0,86.0,-1.0,-1.0,0.0,0.0
174.0,41.0,134.0,94.0,154.0,67.0,-1.0,-1.0,0.0,0.0
161.0,44.0,117.0,89.0,139.0,66.0,3.02,2.99,0.0,0.0
131.0,104.0,131.0,104.0,131.0,104.0,-1.0,-1.0,0.0,0.0
171.0,51.0,124.0,82.0,147.0,66.0,-1.0,-1.0,0.0,0.0
172.0,61.0,122.0,80.0,147.0,70.0,2.96,3.0,0.0,0.0
118.0,63.0,118.0,63.0,118.0,63.0,-1.0,-1.0,0.0,0.0
168.0,46.0,138.0,89.0,153.0,67.0,-1.0,-1.0,0.0,0.0
174.0,48.0,139.0,94.0,156.0,71.0,2.94,3.01,0.0,0.0
123.0,75.0,123.0,75.0,123.0,75.0,-1.0,-1.0,0.0,0.0
164.0,59.0,134.0,113.0,149.0,86.0,-1.0,-1.0,0.0,0.0
162.0,54.0,137.0,112.0,149.0,83.0,2.98,2.98,0.0,0.0
120.0,96.0,120.0,96.0,120.0,96.0,-1.0,-1.0,0.0,0.0
161.0,24.0,124.0,77.0,142.0,50.0,-1.0,-1.0,0.0,0.0
171.0,25.0,108.0,85.0,139.0,55.0,2.9,2.98,0.0,0.0
110.0,81.0,110.0,81.0,110.0,81.0,-1.0,-1.0,0.0,0.0
187.0,52.0,104.0,84.0,145.0,68.0,-1.0,-1.0,0.0,0.0
176.0,32.0,107.0,90.0,141.0,61.0,2.93,2.98,0.0,0.0
110.0,86.0,110.0,86.0,110.0,86.0,-1.0,-1.0,0.0,0.0
187.0,25.0,139.0,82.0,163.0,53.0,-1.0,-1.0,0.0,0.0
243.0,54.0,189.0,86.0,216.0,70.0,2.96,3.04,0.0,0.0
243.0,90.0,243.0,90.0,243.0,90.0,-1.0,-1.0,0.0,0.0
297.0,58.0,297.0,113.0,297.0,85.0,-1.0,-1.0,0.0,0.0
305.0,88.0,297.0,110.0,301.0,99.0,3.0,3.0,0.0,0.0
311.0,116.0,311.0,116.0,311.0,116.0,-1.0,-1.0,0.0,0.0
309.0,74.0,292.0,104.0,300.0,89.0,-1.0,-1.0,0.0,0.0
300.0,116.0,311.0,114.0,305.0,115.0,3.0,3.04,0.0,0.0
311.0,112.0,311.0,112.0,311.0,112.0,-1.0,-1.0,0.0,0.0
301.0,108.0,308.0,112.0,304.0,110.0,-1.0,-1.0,0.0,0.0
314.0,74.0,306.0,104.0,310.0,89.0,3.02,3.01,0.0,0.0
301.0,107.0,301.0,107.0,301.0,107.0,-1.0,-1.0,0.0,0.0
317.0,75.0,309.0,113.0,313.0,94.0,-1.0,-1.0,0.0,0.0
313.0,71.0,308.0,118.0,310.0,94.0,3.01,3.01,0.0,0.0
312.0,112.0,312.0,112.0,312.0,112.0,-1.0,-1.0,0.0,0.0
313.0,88.0,304.0,97.0,308.0,92.0,-1.0,-1.0,0.0,0.0
314.0,89.0,304.0,97.0,309.0,93.0,3.05,3.03,0.0,0.0
304.0,97.0,304.0,97.0,304.0,97.0,-1.0,-1.0,0.0,0.0
300.0,66.0,302.0,96.0,301.0,81.0,-1.0,-1.0,0.0,0.0
305.0,102.0,305.0,102.0,305.0,102.0,3.03,3.03,0.0,0.0
299.0,93.0,299.0,93.0,299.0,93.0,-1.0,-1.0,0.0,0.0
310.0,63.0,304.0,90.0,307.0,76.0,-1.0,-1.0,0.0,0.0
312.0,88.0,312.0,88.0,312.0,88.0,3.09,3.09,0.0,0.0
312.0,88.0,312.0,88.0,312.0,88.0,-1.0,-1.0,0.0,0.0
317.0,112.0,299.0,93.0,308.0,102.0,-1.0,-1.0,0.0,0.0
320.0,73.0,286.0,79.0,303.0,76.0,3.12,3.07,0.0,0.0
291.0,78.0,291.0,78.0,291.0,78.0,-1.0,-1.0,0.0,0.0
312.0,56.0,299.0,79.0,305.0,67.0,-1.0,-1.0,0.0,0.0
303.0,88.0,303.0,88.0,303.0,88.0,3.11,3.11,0.0,0.0
303.0,88.0,303.0,88.0,303.0,88.0,-1.0,-1.0,0.0,0.0
