GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
677.0,318.0,677.0,318.0,677.0,318.0,2.09,2.09,0.0,0.0
676.0,311.0,694.0,314.0,685.0,312.0,-1.0,-1.0,0.0,0.0
683.0,316.0,689.0,322.0,686.0,319.0,-1.0,-1.0,0.0,0.0
682.0,319.0,682.0,319.0,682.0,319.0,2.11,2.11,0.0,0.0
692.0,316.0,679.0,319.0,685.0,317.0,-1.0,-1.0,0.0,0.0
684.0,311.0,677.0,312.0,680.0,311.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
684.0,315.0,688.0,306.0,686.0,310.0,-1.0,-1.0,0.0,0.0
690.0,300.0,691.0,292.0,690.0,296.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
680.0,326.0,682.0,283.0,681.0,304.0,-1.0,-1.0,0.0,0.0
680.0,326.0,672.0,292.0,676.0,309.0,-1.0,-1.0,0.0,0.0
672.0,292.0,672.0,292.0,672.0,292.0,2.17,2.17,0.0,0.0
645.0,302.0,649.0,324.0,647.0,313.0,-1.0,-1.0,0.0,0.0
568.0,309.0,609.0,325.0,588.0,317.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
556.0,296.0,605.0,319.0,580.0,307.0,-1.0,-1.0,0.0,0.0
562.0,302.0,605.0,317.0,583.0,309.0,-1.0,-1.0,0.0,0.0
554.0,294.0,570.0,303.0,562.0,298.0,2.13,2.09,0.0,0.0
550.0,286.0,564.0,303.0,557.0,294.0,-1.0,-1.0,0.0,0.0
546.0,277.0,571.0,307.0,558.0,292.0,-1.0,-1.0,0.0,0.0
546.0,300.0,573.0,323.0,559.0,311.0,2.1,2.11,0.0,0.0
550.0,296.0,572.0,328.0,561.0,312.0,-1.0,-1.0,0.0,0.0
556.0,298.0,566.0,339.0,561.0,318.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
556.0,295.0,565.0,316.0,560.0,305.0,-1.0,-1.0,0.0,0.0
550.0,310.0,559.0,310.0,554.0,310.0,-1.0,-1.0,0.0,0.0
555.0,314.0,555.0,314.0,555.0,314.0,2.12,2.12,0.0,0.0
554.0,320.0,553.0,319.0,553.0,319.0,-1.0,-1.0,0.0,0.0
560.0,315.0,556.0,324.0,558.0,319.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
560.0,322.0,564.0,310.0,562.0,316.0,-1.0,-1.0,0.0,0.0
569.0,306.0,565.0,314.0,567.0,310.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
563.0,297.0,565.0,320.0,564.0,308.0,-1.0,-1.0,0.0,0.0
547.0,300.0,559.0,313.0,553.0,306.0,-1.0,-1.0,0.0,0.0
550.0,309.0,550.0,309.0,550.0,309.0,2.08,2.08,0.0,0.0
562.0,302.0,549.0,303.0,555.0,302.0,-1.0,-1.0,0.0,0.0
571.0,317.0,562.0,310.0,566.0,313.0,-1.0,-1.0,0.0,0.0
568.0,318.0,568.0,318.0,568.0,318.0,2.16,2.16,0.0,0.0
576.0,323.0,580.0,325.0,578.0,324.0,-1.0,-1.0,0.0,0.0
608.0,347.0,609.0,339.0,608.0,343.0,-1.0,-1.0,0.0,0.0
639.0,357.0,639.0,357.0,639.0,357.0,2.05,2.05,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
689.0,380.0,586.0,328.0,637.0,354.0,-1.0,-1.0,0.0,0.0
798.0,421.0,798.0,421.0,798.0,421.0,2.2,2.2,0.0,0.0
772.0,414.0,765.0,388.0,768.0,401.0,-1.0,-1.0,0.0,0.0
777.0,408.0,767.0,383.0,772.0,395.0,-1.0,-1.0,0.0,0.0
780.0,406.0,780.0,406.0,780.0,406.0,2.57,2.57,0.0,0.0
783.0,408.0,783.0,408.0,783.0,408.0,-1.0,-1.0,0.0,0.0
789.0,405.0,759.0,385.0,774.0,395.0,-1.0,-1.0,0.0,0.0
789.0,405.0,769.0,406.0,779.0,405.0,2.49,2.08,0.0,0.0
797.0,396.0,791.0,417.0,794.0,406.0,-1.0,-1.0,0.0,0.0
804.0,388.0,790.0,416.0,797.0,402.0,-1.0,-1.0,0.0,0.0
794.0,391.0,794.0,391.0,794.0,391.0,1.99,1.99,0.0,0.0
774.0,401.0,778.0,406.0,776.0,403.0,-1.0,-1.0,0.0,0.0
774.0,401.0,785.0,425.0,779.0,413.0,-1.0,-1.0,0.0,0.0
794.0,403.0,786.0,417.0,790.0,410.0,2.28,2.88,0.0,0.0
797.0,429.0,793.0,415.0,795.0,422.0,-1.0,-1.0,0.0,0.0
795.0,423.0,788.0,411.0,791.0,417.0,-1.0,-1.0,0.0,0.0
777.0,411.0,777.0,411.0,777.0,411.0,2.0,2.0,0.0,0.0
794.0,403.0,794.0,403.0,794.0,403.0,-1.0,-1.0,0.0,0.0
789.0,412.0,812.0,432.0,800.0,422.0,-1.0,-1.0,0.0,0.0
839.0,446.0,839.0,446.0,839.0,446.0,2.19,2.19,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
837.0,445.0,837.0,461.0,837.0,453.0,-1.0,-1.0,0.0,0.0
835.0,449.0,835.0,449.0,835.0,449.0,2.17,2.17,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
849.0,460.0,852.0,459.0,850.0,459.0,-1.0,-1.0,0.0,0.0
860.0,443.0,860.0,443.0,860.0,443.0,2.16,2.16,0.0,0.0
840.0,444.0,841.0,459.0,840.0,451.0,-1.0,-1.0,0.0,0.0
840.0,442.0,837.0,470.0,838.0,456.0,-1.0,-1.0,0.0,0.0
833.0,433.0,833.0,433.0,833.0,433.0,2.45,2.45,0.0,0.0
846.0,473.0,838.0,452.0,842.0,462.0,-1.0,-1.0,0.0,0.0
840.0,453.0,840.0,447.0,840.0,450.0,-1.0,-1.0,0.0,0.0
840.0,453.0,840.0,453.0,840.0,453.0,2.53,2.53,0.0,0.0
840.0,449.0,832.0,454.0,836.0,451.0,-1.0,-1.0,0.0,0.0
840.0,459.0,835.0,444.0,837.0,451.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
830.0,461.0,830.0,461.0,830.0,461.0,-1.0,-1.0,0.0,0.0
831.0,444.0,823.0,454.0,827.0,449.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
842.0,447.0,842.0,447.0,842.0,447.0,-1.0,-1.0,0.0,0.0
838.0,444.0,838.0,444.0,838.0,444.0,-1.0,-1.0,0.0,0.0
843.0,466.0,843.0,466.0,843.0,466.0,2.38,2.38,0.0,0.0
837.0,464.0,830.0,444.0,833.0,454.0,-1.0,-1.0,0.0,0.0
820.0,453.0,835.0,446.0,827.0,449.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
835.0,458.0,836.0,450.0,835.0,454.0,-1.0,-1.0,0.0,0.0
821.0,444.0,821.0,444.0,821.0,444.0,2.55,2.55,0.0,0.0
820.0,444.0,829.0,448.0,824.0,446.0,-1.0,-1.0,0.0,0.0
823.0,451.0,831.0,459.0,827.0,455.0,-1.0,-1.0,0.0,0.0
823.0,451.0,823.0,451.0,823.0,451.0,3.21,3.21,0.0,0.0
829.0,446.0,836.0,463.0,832.0,454.0,-1.0,-1.0,0.0,0.0
819.0,457.0,828.0,465.0,823.0,461.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
819.0,449.0,840.0,458.0,829.0,453.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
796.0,460.0,829.0,483.0,812.0,471.0,-1.0,-1.0,0.0,0.0
794.0,458.0,833.0,470.0,813.0,464.0,-1.0,-1.0,0.0,0.0
793.0,458.0,793.0,458.0,793.0,458.0,2.52,2.52,0.0,0.0
816.0,466.0,816.0,466.0,816.0,466.0,-1.0,-1.0,0.0,0.0
819.0,460.0,826.0,490.0,822.0,475.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
810.0,446.0,830.0,487.0,820.0,466.0,-1.0,-1.0,0.0,0.0
831.0,484.0,831.0,484.0,831.0,484.0,-1.0,-1.0,0.0,0.0
821.0,447.0,821.0,447.0,821.0,447.0,2.17,2.17,0.0,0.0
817.0,501.0,833.0,478.0,825.0,489.0,-1.0,-1.0,0.0,0.0
817.0,501.0,828.0,478.0,822.0,489.0,-1.0,-1.0,0.0,0.0
818.0,502.0,818.0,502.0,818.0,502.0,2.19,2.19,0.0,0.0
830.0,459.0,826.0,487.0,828.0,473.0,-1.0,-1.0,0.0,0.0
835.0,485.0,813.0,489.0,824.0,487.0,-1.0,-1.0,0.0,0.0
834.0,489.0,834.0,489.0,834.0,489.0,2.34,2.34,0.0,0.0
831.0,478.0,817.0,478.0,824.0,478.0,-1.0,-1.0,0.0,0.0
