GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
507.0,548.0,673.0,596.0,590.0,572.0,-1.0,-1.0,0.0,0.0
520.0,545.0,671.0,602.0,595.0,573.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
540.0,576.0,682.0,608.0,611.0,592.0,-1.0,-1.0,0.0,0.0
540.0,576.0,687.0,603.0,613.0,589.0,-1.0,-1.0,0.0,0.0
518.0,551.0,662.0,599.0,590.0,575.0,3.6,4.0,0.0,0.0
501.0,549.0,662.0,599.0,581.0,574.0,-1.0,-1.0,0.0,0.0
508.0,573.0,665.0,600.0,586.0,586.0,-1.0,-1.0,0.0,0.0
510.0,575.0,662.0,586.0,586.0,580.0,3.58,3.99,0.0,0.0
529.0,567.0,671.0,604.0,600.0,585.0,-1.0,-1.0,0.0,0.0
529.0,567.0,680.0,596.0,604.0,581.0,-1.0,-1.0,0.0,0.0
524.0,577.0,679.0,589.0,601.0,583.0,3.58,3.99,0.0,0.0
536.0,578.0,675.0,577.0,605.0,577.0,-1.0,-1.0,0.0,0.0
536.0,577.0,664.0,579.0,600.0,578.0,-1.0,-1.0,0.0,0.0
519.0,575.0,662.0,587.0,590.0,581.0,3.61,4.01,0.0,0.0
503.0,562.0,666.0,596.0,584.0,579.0,-1.0,-1.0,0.0,0.0
495.0,548.0,665.0,598.0,580.0,573.0,-1.0,-1.0,0.0,0.0
496.0,552.0,664.0,596.0,580.0,574.0,3.6,4.01,0.0,0.0
523.0,572.0,664.0,596.0,593.0,584.0,-1.0,-1.0,0.0,0.0
523.0,574.0,663.0,596.0,593.0,585.0,-1.0,-1.0,0.0,0.0
524.0,575.0,654.0,594.0,589.0,584.0,3.61,4.04,0.0,0.0
529.0,574.0,661.0,592.0,595.0,583.0,-1.0,-1.0,0.0,0.0
539.0,562.0,670.0,590.0,604.0,576.0,-1.0,-1.0,0.0,0.0
536.0,558.0,671.0,585.0,603.0,571.0,3.61,4.03,0.0,0.0
520.0,552.0,677.0,587.0,598.0,569.0,-1.0,-1.0,0.0,0.0
515.0,554.0,667.0,596.0,591.0,575.0,-1.0,-1.0,0.0,0.0
511.0,555.0,666.0,600.0,588.0,577.0,3.63,4.04,0.0,0.0
505.0,558.0,655.0,589.0,580.0,573.0,-1.0,-1.0,0.0,0.0
497.0,558.0,658.0,592.0,577.0,575.0,-1.0,-1.0,0.0,0.0
504.0,565.0,653.0,588.0,578.0,576.0,3.66,4.05,0.0,0.0
518.0,564.0,661.0,598.0,589.0,581.0,-1.0,-1.0,0.0,0.0
519.0,570.0,635.0,605.0,577.0,587.0,-1.0,-1.0,0.0,0.0
515.0,561.0,654.0,599.0,584.0,580.0,3.6,4.03,0.0,0.0
506.0,553.0,654.0,595.0,580.0,574.0,-1.0,-1.0,0.0,0.0
515.0,564.0,667.0,592.0,591.0,578.0,-1.0,-1.0,0.0,0.0
514.0,564.0,661.0,591.0,587.0,577.0,3.63,4.05,0.0,0.0
519.0,571.0,659.0,585.0,589.0,578.0,-1.0,-1.0,0.0,0.0
509.0,583.0,658.0,586.0,583.0,584.0,-1.0,-1.0,0.0,0.0
520.0,566.0,661.0,601.0,590.0,583.0,3.64,4.04,0.0,0.0
520.0,570.0,675.0,603.0,597.0,586.0,-1.0,-1.0,0.0,0.0
520.0,570.0,654.0,599.0,587.0,584.0,-1.0,-1.0,0.0,0.0
521.0,567.0,670.0,598.0,595.0,582.0,3.61,4.03,0.0,0.0
495.0,557.0,666.0,596.0,580.0,576.0,-1.0,-1.0,0.0,0.0
500.0,559.0,683.0,587.0,591.0,573.0,-1.0,-1.0,0.0,0.0
498.0,558.0,680.0,582.0,589.0,570.0,3.62,4.03,0.0,0.0
503.0,562.0,677.0,583.0,590.0,572.0,-1.0,-1.0,0.0,0.0
504.0,563.0,668.0,588.0,586.0,575.0,-1.0,-1.0,0.0,0.0
513.0,548.0,678.0,597.0,595.0,572.0,3.58,3.96,0.0,0.0
554.0,528.0,712.0,552.0,633.0,540.0,-1.0,-1.0,0.0,0.0
588.0,510.0,759.0,526.0,673.0,518.0,-1.0,-1.0,0.0,0.0
637.0,495.0,811.0,508.0,724.0,501.0,3.57,3.96,0.0,0.0
691.0,486.0,847.0,490.0,769.0,488.0,-1.0,-1.0,0.0,0.0
691.0,486.0,855.0,483.0,773.0,484.0,-1.0,-1.0,0.0,0.0
702.0,487.0,854.0,483.0,778.0,485.0,3.51,3.89,0.0,0.0
700.0,465.0,853.0,475.0,776.0,470.0,-1.0,-1.0,0.0,0.0
710.0,462.0,852.0,473.0,781.0,467.0,-1.0,-1.0,0.0,0.0
717.0,459.0,854.0,486.0,785.0,472.0,3.47,3.83,0.0,0.0
734.0,484.0,860.0,511.0,797.0,497.0,-1.0,-1.0,0.0,0.0
729.0,475.0,866.0,508.0,797.0,491.0,-1.0,-1.0,0.0,0.0
724.0,476.0,872.0,472.0,798.0,474.0,3.44,3.8,0.0,0.0
717.0,471.0,872.0,472.0,794.0,471.0,-1.0,-1.0,0.0,0.0
713.0,473.0,867.0,474.0,790.0,473.0,-1.0,-1.0,0.0,0.0
718.0,473.0,860.0,479.0,789.0,476.0,3.38,3.74,0.0,0.0
721.0,471.0,868.0,477.0,794.0,474.0,-1.0,-1.0,0.0,0.0
717.0,466.0,862.0,487.0,789.0,476.0,-1.0,-1.0,0.0,0.0
731.0,470.0,858.0,492.0,794.0,481.0,3.32,3.7,0.0,0.0
722.0,471.0,847.0,500.0,784.0,485.0,-1.0,-1.0,0.0,0.0
719.0,484.0,865.0,475.0,792.0,479.0,-1.0,-1.0,0.0,0.0
738.0,492.0,867.0,478.0,802.0,485.0,3.32,3.67,0.0,0.0
719.0,485.0,865.0,499.0,792.0,492.0,-1.0,-1.0,0.0,0.0
732.0,471.0,860.0,504.0,796.0,487.0,-1.0,-1.0,0.0,0.0
739.0,477.0,857.0,486.0,798.0,481.0,3.28,3.66,0.0,0.0
736.0,463.0,858.0,484.0,797.0,473.0,-1.0,-1.0,0.0,0.0
747.0,462.0,850.0,478.0,798.0,470.0,-1.0,-1.0,0.0,0.0
748.0,471.0,845.0,474.0,796.0,472.0,3.25,3.61,0.0,0.0
756.0,449.0,840.0,472.0,798.0,460.0,-1.0,-1.0,0.0,0.0
750.0,453.0,845.0,492.0,797.0,472.0,-1.0,-1.0,0.0,0.0
750.0,453.0,850.0,483.0,800.0,468.0,3.22,3.57,0.0,0.0
756.0,476.0,851.0,484.0,803.0,480.0,-1.0,-1.0,0.0,0.0
759.0,485.0,859.0,449.0,809.0,467.0,-1.0,-1.0,0.0,0.0
764.0,491.0,855.0,477.0,809.0,484.0,3.19,3.56,0.0,0.0
757.0,497.0,861.0,477.0,809.0,487.0,-1.0,-1.0,0.0,0.0
757.0,497.0,841.0,476.0,799.0,486.0,-1.0,-1.0,0.0,0.0
751.0,482.0,849.0,490.0,800.0,486.0,3.17,3.54,0.0,0.0
761.0,478.0,846.0,490.0,803.0,484.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
762.0,471.0,843.0,492.0,802.0,481.0,3.12,3.51,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
757.0,472.0,848.0,477.0,802.0,474.0,-1.0,-1.0,0.0,0.0
756.0,471.0,850.0,464.0,803.0,467.0,3.11,3.43,0.0,0.0
759.0,470.0,851.0,464.0,805.0,467.0,-1.0,-1.0,0.0,0.0
764.0,468.0,853.0,479.0,808.0,473.0,-1.0,-1.0,0.0,0.0
765.0,482.0,854.0,480.0,809.0,481.0,3.1,3.42,0.0,0.0
761.0,477.0,843.0,481.0,802.0,479.0,-1.0,-1.0,0.0,0.0
765.0,465.0,835.0,481.0,800.0,473.0,-1.0,-1.0,0.0,0.0
759.0,463.0,835.0,494.0,797.0,478.0,3.07,3.42,0.0,0.0
