GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
525.0,489.0,521.0,438.0,523.0,463.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
545.0,484.0,501.0,435.0,523.0,459.0,-1.0,-1.0,0.0,0.0
540.0,468.0,507.0,439.0,523.0,453.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
525.0,470.0,526.0,439.0,525.0,454.0,-1.0,-1.0,0.0,0.0
526.0,471.0,502.0,459.0,514.0,465.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
517.0,485.0,504.0,464.0,510.0,474.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
513.0,483.0,505.0,469.0,509.0,476.0,-1.0,-1.0,0.0,0.0
514.0,478.0,514.0,478.0,514.0,478.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
513.0,478.0,507.0,461.0,510.0,469.0,-1.0,-1.0,0.0,0.0
509.0,492.0,514.0,453.0,511.0,472.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
509.0,494.0,512.0,469.0,510.0,481.0,-1.0,-1.0,0.0,0.0
510.0,486.0,502.0,479.0,506.0,482.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
505.0,493.0,500.0,468.0,502.0,480.0,-1.0,-1.0,0.0,0.0
502.0,509.0,502.0,509.0,502.0,509.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
527.0,515.0,479.0,471.0,503.0,493.0,-1.0,-1.0,0.0,0.0
523.0,506.0,482.0,481.0,502.0,493.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
485.0,456.0,485.0,456.0,485.0,456.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
527.0,502.0,527.0,502.0,527.0,502.0,-1.0,-1.0,0.0,0.0
533.0,500.0,533.0,500.0,533.0,500.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
538.0,518.0,518.0,477.0,528.0,497.0,-1.0,-1.0,0.0,0.0
554.0,504.0,508.0,446.0,531.0,475.0,-1.0,-1.0,0.0,0.0
497.0,433.0,497.0,433.0,497.0,433.0,2.04,2.04,0.0,0.0
557.0,493.0,506.0,442.0,531.0,467.0,-1.0,-1.0,0.0,0.0
543.0,488.0,514.0,460.0,528.0,474.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
541.0,506.0,534.0,454.0,537.0,480.0,-1.0,-1.0,0.0,0.0
554.0,507.0,514.0,440.0,534.0,473.0,-1.0,-1.0,0.0,0.0
523.0,470.0,523.0,470.0,523.0,470.0,2.12,2.12,0.0,0.0
562.0,501.0,515.0,484.0,538.0,492.0,-1.0,-1.0,0.0,0.0
563.0,509.0,517.0,485.0,540.0,497.0,-1.0,-1.0,0.0,0.0
525.0,480.0,525.0,480.0,525.0,480.0,2.01,2.01,0.0,0.0
562.0,517.0,549.0,483.0,555.0,500.0,-1.0,-1.0,0.0,0.0
556.0,496.0,517.0,477.0,536.0,486.0,-1.0,-1.0,0.0,0.0
523.0,468.0,523.0,468.0,523.0,468.0,1.99,1.99,0.0,0.0
565.0,487.0,539.0,498.0,552.0,492.0,-1.0,-1.0,0.0,0.0
568.0,514.0,544.0,499.0,556.0,506.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
545.0,523.0,535.0,507.0,540.0,515.0,-1.0,-1.0,0.0,0.0
540.0,510.0,513.0,467.0,526.0,488.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
553.0,507.0,505.0,471.0,529.0,489.0,-1.0,-1.0,0.0,0.0
552.0,502.0,509.0,468.0,530.0,485.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
548.0,504.0,529.0,463.0,538.0,483.0,-1.0,-1.0,0.0,0.0
560.0,502.0,528.0,470.0,544.0,486.0,-1.0,-1.0,0.0,0.0
