GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
529.0,285.0,513.0,287.0,521.0,286.0,-1.0,-1.0,0.0,0.0
518.0,285.0,495.0,285.0,506.0,285.0,3.15,3.15,0.0,0.0
492.0,282.0,491.0,286.0,491.0,284.0,-1.0,-1.0,0.0,0.0
492.0,282.0,493.0,287.0,492.0,284.0,-1.0,-1.0,0.0,0.0
509.0,298.0,490.0,292.0,499.0,295.0,3.18,3.13,0.0,0.0
510.0,298.0,496.0,289.0,503.0,293.0,-1.0,-1.0,0.0,0.0
511.0,291.0,481.0,300.0,496.0,295.0,-1.0,-1.0,0.0,0.0
489.0,288.0,483.0,294.0,486.0,291.0,3.18,3.13,0.0,0.0
516.0,283.0,487.0,280.0,501.0,281.0,-1.0,-1.0,0.0,0.0
516.0,286.0,492.0,275.0,504.0,280.0,-1.0,-1.0,0.0,0.0
520.0,285.0,489.0,311.0,504.0,298.0,3.18,3.08,0.0,0.0
494.0,288.0,479.0,293.0,486.0,290.0,-1.0,-1.0,0.0,0.0
510.0,283.0,500.0,333.0,505.0,308.0,-1.0,-1.0,0.0,0.0
493.0,291.0,497.0,306.0,495.0,298.0,3.17,3.07,0.0,0.0
514.0,287.0,515.0,330.0,514.0,308.0,-1.0,-1.0,0.0,0.0
510.0,287.0,489.0,276.0,499.0,281.0,-1.0,-1.0,0.0,0.0
511.0,284.0,484.0,270.0,497.0,277.0,3.13,3.1,0.0,0.0
510.0,290.0,497.0,287.0,503.0,288.0,-1.0,-1.0,0.0,0.0
517.0,303.0,497.0,294.0,507.0,298.0,-1.0,-1.0,0.0,0.0
519.0,305.0,495.0,291.0,507.0,298.0,3.16,3.02,0.0,0.0
521.0,304.0,484.0,277.0,502.0,290.0,-1.0,-1.0,0.0,0.0
531.0,296.0,484.0,299.0,507.0,297.0,-1.0,-1.0,0.0,0.0
527.0,296.0,491.0,306.0,509.0,301.0,3.14,3.09,0.0,0.0
525.0,295.0,497.0,294.0,511.0,294.0,-1.0,-1.0,0.0,0.0
514.0,300.0,511.0,314.0,512.0,307.0,-1.0,-1.0,0.0,0.0
517.0,300.0,500.0,288.0,508.0,294.0,3.18,3.11,0.0,0.0
499.0,294.0,500.0,306.0,499.0,300.0,-1.0,-1.0,0.0,0.0
499.0,294.0,477.0,285.0,488.0,289.0,-1.0,-1.0,0.0,0.0
