GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
901.0,372.0,879.0,361.0,890.0,366.0,3.69,3.31,0.0,0.0
902.0,370.0,884.0,405.0,893.0,387.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
902.0,370.0,880.0,387.0,891.0,378.0,3.68,3.29,0.0,0.0
898.0,351.0,871.0,365.0,884.0,358.0,-1.0,-1.0,0.0,0.0
898.0,351.0,871.0,365.0,884.0,358.0,-1.0,-1.0,0.0,0.0
897.0,343.0,871.0,362.0,884.0,352.0,3.65,3.3,0.0,0.0
900.0,338.0,874.0,363.0,887.0,350.0,-1.0,-1.0,0.0,0.0
893.0,363.0,874.0,363.0,883.0,363.0,-1.0,-1.0,0.0,0.0
891.0,365.0,872.0,378.0,881.0,371.0,3.67,3.31,0.0,0.0
894.0,364.0,870.0,398.0,882.0,381.0,-1.0,-1.0,0.0,0.0
895.0,353.0,883.0,378.0,889.0,365.0,-1.0,-1.0,0.0,0.0
904.0,354.0,879.0,378.0,891.0,366.0,3.66,3.27,0.0,0.0
917.0,360.0,864.0,379.0,890.0,369.0,-1.0,-1.0,0.0,0.0
934.0,348.0,864.0,379.0,899.0,363.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1067.0,489.0,1067.0,489.0,1067.0,489.0,2.99,2.99,0.0,0.0
867.0,430.0,867.0,430.0,867.0,430.0,-1.0,-1.0,0.0,0.0
912.0,350.0,912.0,350.0,912.0,350.0,-1.0,-1.0,0.0,0.0
793.0,390.0,912.0,350.0,852.0,370.0,3.67,2.69,0.0,0.0
840.0,362.0,903.0,421.0,871.0,391.0,-1.0,-1.0,0.0,0.0
844.0,370.0,893.0,431.0,868.0,400.0,-1.0,-1.0,0.0,0.0
851.0,374.0,875.0,421.0,863.0,397.0,3.68,3.03,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
852.0,364.0,836.0,442.0,844.0,403.0,-1.0,-1.0,0.0,0.0
851.0,363.0,837.0,442.0,844.0,402.0,3.67,2.97,0.0,0.0
871.0,393.0,854.0,402.0,862.0,397.0,-1.0,-1.0,0.0,0.0
870.0,404.0,859.0,388.0,864.0,396.0,-1.0,-1.0,0.0,0.0
867.0,408.0,840.0,396.0,853.0,402.0,3.68,3.26,0.0,0.0
868.0,410.0,846.0,422.0,857.0,416.0,-1.0,-1.0,0.0,0.0
868.0,408.0,840.0,442.0,854.0,425.0,-1.0,-1.0,0.0,0.0
