GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
906.0,491.0,906.0,491.0,906.0,491.0,2.57,2.57,0.0,0.0
913.0,520.0,913.0,520.0,913.0,520.0,-1.0,-1.0,0.0,0.0
887.0,505.0,904.0,487.0,895.0,496.0,-1.0,-1.0,0.0,0.0
905.0,497.0,905.0,497.0,905.0,497.0,2.63,2.63,0.0,0.0
873.0,471.0,879.0,498.0,876.0,484.0,-1.0,-1.0,0.0,0.0
877.0,486.0,878.0,492.0,877.0,489.0,-1.0,-1.0,0.0,0.0
874.0,486.0,874.0,486.0,874.0,486.0,2.54,2.54,0.0,0.0
864.0,467.0,864.0,467.0,864.0,467.0,-1.0,-1.0,0.0,0.0
870.0,483.0,906.0,493.0,888.0,488.0,-1.0,-1.0,0.0,0.0
870.0,477.0,870.0,477.0,870.0,477.0,2.58,2.58,0.0,0.0
885.0,497.0,885.0,497.0,885.0,497.0,-1.0,-1.0,0.0,0.0
879.0,496.0,916.0,507.0,897.0,501.0,-1.0,-1.0,0.0,0.0
879.0,473.0,879.0,473.0,879.0,473.0,2.5,2.5,0.0,0.0
883.0,497.0,885.0,476.0,884.0,486.0,-1.0,-1.0,0.0,0.0
883.0,494.0,872.0,478.0,877.0,486.0,-1.0,-1.0,0.0,0.0
874.0,480.0,874.0,480.0,874.0,480.0,2.51,2.51,0.0,0.0
875.0,479.0,875.0,479.0,875.0,479.0,-1.0,-1.0,0.0,0.0
888.0,494.0,876.0,483.0,882.0,488.0,-1.0,-1.0,0.0,0.0
876.0,477.0,876.0,477.0,876.0,477.0,2.46,2.46,0.0,0.0
867.0,483.0,878.0,470.0,872.0,476.0,-1.0,-1.0,0.0,0.0
865.0,480.0,889.0,473.0,877.0,476.0,-1.0,-1.0,0.0,0.0
884.0,479.0,884.0,479.0,884.0,479.0,2.58,2.58,0.0,0.0
841.0,486.0,884.0,479.0,862.0,482.0,-1.0,-1.0,0.0,0.0
855.0,478.0,892.0,479.0,873.0,478.0,-1.0,-1.0,0.0,0.0
893.0,476.0,893.0,476.0,893.0,476.0,2.58,2.58,0.0,0.0
879.0,457.0,879.0,457.0,879.0,457.0,-1.0,-1.0,0.0,0.0
862.0,473.0,914.0,480.0,888.0,476.0,-1.0,-1.0,0.0,0.0
871.0,476.0,871.0,476.0,871.0,476.0,2.59,2.59,0.0,0.0
878.0,477.0,878.0,477.0,878.0,477.0,-1.0,-1.0,0.0,0.0
866.0,465.0,867.0,473.0,866.0,469.0,-1.0,-1.0,0.0,0.0
895.0,478.0,895.0,478.0,895.0,478.0,2.56,2.56,0.0,0.0
839.0,475.0,894.0,478.0,866.0,476.0,-1.0,-1.0,0.0,0.0
816.0,472.0,900.0,488.0,858.0,480.0,-1.0,-1.0,0.0,0.0
855.0,472.0,855.0,472.0,855.0,472.0,2.53,2.53,0.0,0.0
828.0,457.0,845.0,479.0,836.0,468.0,-1.0,-1.0,0.0,0.0
868.0,438.0,883.0,485.0,875.0,461.0,-1.0,-1.0,0.0,0.0
891.0,482.0,891.0,482.0,891.0,482.0,2.62,2.62,0.0,0.0
864.0,458.0,864.0,458.0,864.0,458.0,-1.0,-1.0,0.0,0.0
838.0,479.0,873.0,486.0,855.0,482.0,-1.0,-1.0,0.0,0.0
