GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
1017.0,336.0,1022.0,353.0,1019.0,344.0,2.81,2.74,0.0,0.0
1023.0,348.0,1022.0,353.0,1022.0,350.0,-1.0,-1.0,0.0,0.0
1009.0,327.0,1035.0,336.0,1022.0,331.0,-1.0,-1.0,0.0,0.0
1010.0,327.0,1025.0,340.0,1017.0,333.0,2.83,2.66,0.0,0.0
1010.0,331.0,1025.0,340.0,1017.0,335.0,-1.0,-1.0,0.0,0.0
1012.0,327.0,1014.0,346.0,1013.0,336.0,-1.0,-1.0,0.0,0.0
1009.0,326.0,1029.0,336.0,1019.0,331.0,2.75,2.71,0.0,0.0
1021.0,336.0,1021.0,345.0,1021.0,340.0,-1.0,-1.0,0.0,0.0
1024.0,347.0,1026.0,341.0,1025.0,344.0,-1.0,-1.0,0.0,0.0
1027.0,349.0,1041.0,317.0,1034.0,333.0,2.81,2.59,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
939.0,424.0,958.0,421.0,948.0,422.0,-1.0,-1.0,0.0,0.0
946.0,429.0,964.0,412.0,955.0,420.0,2.74,2.67,0.0,0.0
966.0,436.0,965.0,410.0,965.0,423.0,-1.0,-1.0,0.0,0.0
966.0,436.0,967.0,406.0,966.0,421.0,-1.0,-1.0,0.0,0.0
968.0,442.0,967.0,406.0,967.0,424.0,2.76,2.63,0.0,0.0
976.0,434.0,957.0,413.0,966.0,423.0,-1.0,-1.0,0.0,0.0
971.0,437.0,958.0,416.0,964.0,426.0,-1.0,-1.0,0.0,0.0
971.0,434.0,973.0,426.0,972.0,430.0,2.77,2.64,0.0,0.0
964.0,435.0,970.0,423.0,967.0,429.0,-1.0,-1.0,0.0,0.0
962.0,429.0,971.0,434.0,966.0,431.0,-1.0,-1.0,0.0,0.0
967.0,431.0,973.0,434.0,970.0,432.0,2.78,2.62,0.0,0.0
960.0,423.0,960.0,423.0,960.0,423.0,-1.0,-1.0,0.0,0.0
966.0,449.0,977.0,427.0,971.0,438.0,-1.0,-1.0,0.0,0.0
967.0,440.0,972.0,431.0,969.0,435.0,2.78,2.66,0.0,0.0
967.0,440.0,973.0,434.0,970.0,437.0,-1.0,-1.0,0.0,0.0
960.0,438.0,967.0,416.0,963.0,427.0,-1.0,-1.0,0.0,0.0
951.0,443.0,967.0,416.0,959.0,429.0,2.79,2.66,0.0,0.0
952.0,437.0,959.0,424.0,955.0,430.0,-1.0,-1.0,0.0,0.0
965.0,419.0,963.0,427.0,964.0,423.0,-1.0,-1.0,0.0,0.0
968.0,417.0,968.0,422.0,968.0,419.0,2.77,2.64,0.0,0.0
969.0,419.0,969.0,422.0,969.0,420.0,-1.0,-1.0,0.0,0.0
963.0,426.0,960.0,419.0,961.0,422.0,-1.0,-1.0,0.0,0.0
963.0,426.0,961.0,415.0,962.0,420.0,2.79,2.61,0.0,0.0
