GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
364.0,354.0,364.0,354.0,364.0,354.0,-1.0,-1.0,0.0,0.0
364.0,354.0,364.0,354.0,364.0,354.0,3.72,3.72,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
333.0,345.0,333.0,345.0,333.0,345.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
332.0,447.0,332.0,447.0,332.0,447.0,-1.0,-1.0,0.0,0.0
706.0,594.0,706.0,594.0,706.0,594.0,-1.0,-1.0,0.0,0.0
150.0,2047.0,150.0,2047.0,150.0,2047.0,2.54,2.54,0.0,0.0
317.0,395.0,317.0,395.0,317.0,395.0,-1.0,-1.0,0.0,0.0
334.0,1139.0,180.0,2101.0,257.0,1620.0,-1.0,-1.0,0.0,0.0
420.0,307.0,420.0,307.0,420.0,307.0,2.09,2.09,0.0,0.0
489.0,548.0,449.0,415.0,469.0,481.0,-1.0,-1.0,0.0,0.0
421.0,436.0,421.0,436.0,421.0,436.0,-1.0,-1.0,0.0,0.0
494.0,519.0,494.0,519.0,494.0,519.0,1.77,1.77,0.0,0.0
718.0,728.0,524.0,584.0,621.0,656.0,-1.0,-1.0,0.0,0.0
559.0,669.0,525.0,618.0,542.0,643.0,-1.0,-1.0,0.0,0.0
517.0,591.0,517.0,591.0,517.0,591.0,1.62,1.62,0.0,0.0
527.0,634.0,518.0,589.0,522.0,611.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
510.0,624.0,500.0,584.0,505.0,604.0,-1.0,-1.0,0.0,0.0
580.0,632.0,498.0,566.0,539.0,599.0,-1.0,-1.0,0.0,0.0
499.0,549.0,499.0,549.0,499.0,549.0,1.92,1.92,0.0,0.0
529.0,594.0,476.0,528.0,502.0,561.0,-1.0,-1.0,0.0,0.0
522.0,580.0,474.0,523.0,498.0,551.0,-1.0,-1.0,0.0,0.0
461.0,507.0,461.0,507.0,461.0,507.0,1.95,1.95,0.0,0.0
463.0,548.0,438.0,482.0,450.0,515.0,-1.0,-1.0,0.0,0.0
461.0,537.0,435.0,466.0,448.0,501.0,-1.0,-1.0,0.0,0.0
435.0,448.0,435.0,448.0,435.0,448.0,2.13,2.13,0.0,0.0
385.0,484.0,406.0,489.0,395.0,486.0,-1.0,-1.0,0.0,0.0
375.0,467.0,402.0,419.0,388.0,443.0,-1.0,-1.0,0.0,0.0
394.0,403.0,394.0,403.0,394.0,403.0,2.12,2.12,0.0,0.0
342.0,442.0,394.0,447.0,368.0,444.0,-1.0,-1.0,0.0,0.0
344.0,441.0,391.0,372.0,367.0,406.0,-1.0,-1.0,0.0,0.0
413.0,405.0,413.0,405.0,413.0,405.0,2.41,2.41,0.0,0.0
336.0,426.0,421.0,388.0,378.0,407.0,-1.0,-1.0,0.0,0.0
