GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
452.0,440.0,446.0,417.0,449.0,428.0,2.85,2.87,0.0,0.0
452.0,440.0,454.0,451.0,453.0,445.0,-1.0,-1.0,0.0,0.0
428.0,452.0,462.0,449.0,445.0,450.0,-1.0,-1.0,0.0,0.0
428.0,457.0,448.0,457.0,438.0,457.0,2.81,2.88,0.0,0.0
428.0,464.0,449.0,459.0,438.0,461.0,-1.0,-1.0,0.0,0.0
436.0,457.0,444.0,465.0,440.0,461.0,-1.0,-1.0,0.0,0.0
429.0,459.0,445.0,467.0,437.0,463.0,2.03,2.84,0.0,0.0
429.0,449.0,441.0,451.0,435.0,450.0,-1.0,-1.0,0.0,0.0
412.0,433.0,438.0,444.0,425.0,438.0,-1.0,-1.0,0.0,0.0
426.0,465.0,435.0,455.0,430.0,460.0,2.79,2.86,0.0,0.0
425.0,428.0,440.0,464.0,432.0,446.0,-1.0,-1.0,0.0,0.0
445.0,457.0,444.0,451.0,444.0,454.0,-1.0,-1.0,0.0,0.0
445.0,457.0,446.0,437.0,445.0,447.0,2.15,2.85,0.0,0.0
430.0,460.0,446.0,437.0,438.0,448.0,-1.0,-1.0,0.0,0.0
374.0,457.0,448.0,441.0,411.0,449.0,-1.0,-1.0,0.0,0.0
427.0,462.0,447.0,452.0,437.0,457.0,2.74,2.81,0.0,0.0
437.0,461.0,443.0,449.0,440.0,455.0,-1.0,-1.0,0.0,0.0
433.0,429.0,427.0,446.0,430.0,437.0,-1.0,-1.0,0.0,0.0
434.0,426.0,437.0,450.0,435.0,438.0,2.75,2.81,0.0,0.0
434.0,432.0,429.0,444.0,431.0,438.0,-1.0,-1.0,0.0,0.0
432.0,462.0,432.0,444.0,432.0,453.0,-1.0,-1.0,0.0,0.0
432.0,462.0,436.0,470.0,434.0,466.0,2.8,2.85,0.0,0.0
424.0,444.0,438.0,457.0,431.0,450.0,-1.0,-1.0,0.0,0.0
432.0,446.0,437.0,462.0,434.0,454.0,-1.0,-1.0,0.0,0.0
