GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
867.0,506.0,947.0,530.0,907.0,518.0,-1.0,-1.0,0.0,0.0
858.0,532.0,915.0,562.0,886.0,547.0,-1.0,-1.0,0.0,0.0
905.0,555.0,905.0,555.0,905.0,555.0,2.93,2.93,0.0,0.0
860.0,534.0,912.0,532.0,886.0,533.0,-1.0,-1.0,0.0,0.0
908.0,533.0,908.0,533.0,908.0,533.0,-1.0,-1.0,0.0,0.0
865.0,532.0,917.0,526.0,891.0,529.0,2.71,2.9,0.0,0.0
872.0,546.0,919.0,561.0,895.0,553.0,-1.0,-1.0,0.0,0.0
875.0,546.0,927.0,533.0,901.0,539.0,-1.0,-1.0,0.0,0.0
882.0,554.0,920.0,544.0,901.0,549.0,2.66,2.92,0.0,0.0
874.0,525.0,904.0,556.0,889.0,540.0,-1.0,-1.0,0.0,0.0
873.0,528.0,873.0,528.0,873.0,528.0,-1.0,-1.0,0.0,0.0
865.0,530.0,898.0,571.0,881.0,550.0,2.78,2.96,0.0,0.0
876.0,550.0,900.0,571.0,888.0,560.0,-1.0,-1.0,0.0,0.0
889.0,530.0,909.0,557.0,899.0,543.0,-1.0,-1.0,0.0,0.0
895.0,559.0,907.0,543.0,901.0,551.0,2.89,2.87,0.0,0.0
874.0,528.0,910.0,537.0,892.0,532.0,-1.0,-1.0,0.0,0.0
867.0,536.0,924.0,555.0,895.0,545.0,-1.0,-1.0,0.0,0.0
860.0,520.0,921.0,547.0,890.0,533.0,2.79,2.9,0.0,0.0
872.0,547.0,908.0,526.0,890.0,536.0,-1.0,-1.0,0.0,0.0
876.0,541.0,920.0,538.0,898.0,539.0,-1.0,-1.0,0.0,0.0
873.0,535.0,861.0,504.0,867.0,519.0,2.77,2.42,0.0,0.0
871.0,527.0,919.0,557.0,895.0,542.0,-1.0,-1.0,0.0,0.0
880.0,524.0,919.0,567.0,899.0,545.0,-1.0,-1.0,0.0,0.0
906.0,562.0,906.0,562.0,906.0,562.0,2.96,2.96,0.0,0.0
845.0,506.0,904.0,557.0,874.0,531.0,-1.0,-1.0,0.0,0.0
815.0,454.0,839.0,378.0,827.0,416.0,-1.0,-1.0,0.0,0.0
828.0,348.0,828.0,348.0,828.0,348.0,2.93,2.93,0.0,0.0
766.0,298.0,811.0,296.0,788.0,297.0,-1.0,-1.0,0.0,0.0
746.0,259.0,795.0,263.0,770.0,261.0,-1.0,-1.0,0.0,0.0
788.0,255.0,788.0,255.0,788.0,255.0,2.87,2.87,0.0,0.0
747.0,262.0,791.0,263.0,769.0,262.0,-1.0,-1.0,0.0,0.0
749.0,260.0,788.0,262.0,768.0,261.0,-1.0,-1.0,0.0,0.0
791.0,265.0,791.0,265.0,791.0,265.0,2.63,2.63,0.0,0.0
751.0,265.0,785.0,261.0,768.0,263.0,-1.0,-1.0,0.0,0.0
743.0,265.0,776.0,244.0,759.0,254.0,-1.0,-1.0,0.0,0.0
776.0,258.0,776.0,258.0,776.0,258.0,2.85,2.85,0.0,0.0
748.0,269.0,800.0,272.0,774.0,270.0,-1.0,-1.0,0.0,0.0
745.0,301.0,787.0,270.0,766.0,285.0,-1.0,-1.0,0.0,0.0
790.0,281.0,790.0,281.0,790.0,281.0,2.98,2.98,0.0,0.0
743.0,305.0,790.0,264.0,766.0,284.0,-1.0,-1.0,0.0,0.0
752.0,274.0,799.0,272.0,775.0,273.0,-1.0,-1.0,0.0,0.0
789.0,261.0,789.0,261.0,789.0,261.0,2.82,2.82,0.0,0.0
752.0,250.0,785.0,259.0,768.0,254.0,-1.0,-1.0,0.0,0.0
733.0,253.0,764.0,254.0,748.0,253.0,-1.0,-1.0,0.0,0.0
767.0,252.0,767.0,252.0,767.0,252.0,2.89,2.89,0.0,0.0
654.0,241.0,661.0,230.0,657.0,235.0,-1.0,-1.0,0.0,0.0
586.0,220.0,615.0,214.0,600.0,217.0,-1.0,-1.0,0.0,0.0
607.0,215.0,607.0,215.0,607.0,215.0,2.84,2.84,0.0,0.0
582.0,226.0,614.0,227.0,598.0,226.0,-1.0,-1.0,0.0,0.0
583.0,232.0,614.0,228.0,598.0,230.0,-1.0,-1.0,0.0,0.0
614.0,198.0,614.0,198.0,614.0,198.0,2.8,2.8,0.0,0.0
583.0,234.0,613.0,191.0,598.0,212.0,-1.0,-1.0,0.0,0.0
582.0,230.0,620.0,217.0,601.0,223.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
592.0,218.0,611.0,203.0,601.0,210.0,-1.0,-1.0,0.0,0.0
595.0,231.0,609.0,200.0,602.0,215.0,-1.0,-1.0,0.0,0.0
609.0,224.0,609.0,224.0,609.0,224.0,2.78,2.78,0.0,0.0
582.0,247.0,605.0,219.0,593.0,233.0,-1.0,-1.0,0.0,0.0
581.0,227.0,607.0,217.0,594.0,222.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
587.0,219.0,609.0,219.0,598.0,219.0,-1.0,-1.0,0.0,0.0
585.0,242.0,608.0,221.0,596.0,231.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
587.0,250.0,614.0,216.0,600.0,233.0,-1.0,-1.0,0.0,0.0
586.0,250.0,606.0,216.0,596.0,233.0,-1.0,-1.0,0.0,0.0
607.0,210.0,607.0,210.0,607.0,210.0,2.68,2.68,0.0,0.0
586.0,248.0,612.0,210.0,599.0,229.0,-1.0,-1.0,0.0,0.0
582.0,233.0,615.0,214.0,598.0,223.0,-1.0,-1.0,0.0,0.0
617.0,222.0,617.0,222.0,617.0,222.0,2.28,2.28,0.0,0.0
580.0,230.0,606.0,220.0,593.0,225.0,-1.0,-1.0,0.0,0.0
582.0,237.0,604.0,216.0,593.0,226.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
584.0,236.0,602.0,212.0,593.0,224.0,-1.0,-1.0,0.0,0.0
591.0,234.0,605.0,212.0,598.0,223.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
594.0,237.0,608.0,224.0,601.0,230.0,-1.0,-1.0,0.0,0.0
592.0,242.0,608.0,221.0,600.0,231.0,-1.0,-1.0,0.0,0.0
608.0,220.0,608.0,220.0,608.0,220.0,1.92,1.92,0.0,0.0
591.0,242.0,609.0,215.0,600.0,228.0,-1.0,-1.0,0.0,0.0
589.0,239.0,609.0,221.0,599.0,230.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
586.0,248.0,614.0,222.0,600.0,235.0,-1.0,-1.0,0.0,0.0
589.0,247.0,613.0,223.0,601.0,235.0,-1.0,-1.0,0.0,0.0
613.0,223.0,613.0,223.0,613.0,223.0,2.14,2.14,0.0,0.0
569.0,235.0,556.0,211.0,562.0,223.0,-1.0,-1.0,0.0,0.0
530.0,231.0,497.0,201.0,513.0,216.0,-1.0,-1.0,0.0,0.0
511.0,202.0,511.0,202.0,511.0,202.0,2.71,2.71,0.0,0.0
484.0,223.0,495.0,196.0,489.0,209.0,-1.0,-1.0,0.0,0.0
486.0,227.0,501.0,189.0,493.0,208.0,-1.0,-1.0,0.0,0.0
500.0,191.0,500.0,191.0,500.0,191.0,2.25,2.25,0.0,0.0
485.0,211.0,464.0,187.0,474.0,199.0,-1.0,-1.0,0.0,0.0
486.0,200.0,497.0,207.0,491.0,203.0,-1.0,-1.0,0.0,0.0
496.0,207.0,496.0,207.0,496.0,207.0,2.63,2.63,0.0,0.0
484.0,213.0,493.0,208.0,488.0,210.0,-1.0,-1.0,0.0,0.0
488.0,232.0,492.0,208.0,490.0,220.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
490.0,226.0,491.0,208.0,490.0,217.0,-1.0,-1.0,0.0,0.0
485.0,224.0,496.0,204.0,490.0,214.0,-1.0,-1.0,0.0,0.0
484.0,218.0,497.0,203.0,490.0,210.0,2.41,2.09,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
482.0,211.0,502.0,198.0,492.0,204.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
483.0,216.0,495.0,195.0,489.0,205.0,-1.0,-1.0,0.0,0.0
485.0,219.0,490.0,206.0,487.0,212.0,-1.0,-1.0,0.0,0.0
484.0,226.0,484.0,226.0,484.0,226.0,2.36,2.36,0.0,0.0
481.0,225.0,500.0,209.0,490.0,217.0,-1.0,-1.0,0.0,0.0
482.0,226.0,503.0,206.0,492.0,216.0,-1.0,-1.0,0.0,0.0
486.0,223.0,486.0,223.0,486.0,223.0,2.44,2.44,0.0,0.0
497.0,227.0,501.0,211.0,499.0,219.0,-1.0,-1.0,0.0,0.0
494.0,227.0,505.0,217.0,499.0,222.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484.0,223.0,502.0,217.0,493.0,220.0,-1.0,-1.0,0.0,0.0
483.0,227.0,499.0,217.0,491.0,222.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
482.0,216.0,500.0,218.0,491.0,217.0,-1.0,-1.0,0.0,0.0
