GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
826.0,518.0,864.0,510.0,845.0,514.0,-1.0,-1.0,0.0,0.0
828.0,475.0,872.0,482.0,850.0,478.0,3.2,3.19,0.0,0.0
844.0,480.0,887.0,478.0,865.0,479.0,-1.0,-1.0,0.0,0.0
838.0,475.0,870.0,445.0,854.0,460.0,-1.0,-1.0,0.0,0.0
844.0,509.0,869.0,451.0,856.0,480.0,3.21,3.11,0.0,0.0
830.0,501.0,862.0,500.0,846.0,500.0,-1.0,-1.0,0.0,0.0
831.0,501.0,862.0,500.0,846.0,500.0,-1.0,-1.0,0.0,0.0
835.0,496.0,866.0,476.0,850.0,486.0,3.22,3.07,0.0,0.0
838.0,485.0,862.0,484.0,850.0,484.0,-1.0,-1.0,0.0,0.0
841.0,471.0,862.0,484.0,851.0,477.0,-1.0,-1.0,0.0,0.0
832.0,474.0,884.0,465.0,858.0,469.0,3.14,3.06,0.0,0.0
836.0,473.0,890.0,464.0,863.0,468.0,-1.0,-1.0,0.0,0.0
836.0,473.0,884.0,458.0,860.0,465.0,-1.0,-1.0,0.0,0.0
842.0,464.0,876.0,462.0,859.0,463.0,3.22,3.08,0.0,0.0
838.0,466.0,872.0,469.0,855.0,467.0,-1.0,-1.0,0.0,0.0
837.0,477.0,865.0,466.0,851.0,471.0,-1.0,-1.0,0.0,0.0
835.0,486.0,865.0,472.0,850.0,479.0,2.99,3.14,0.0,0.0
836.0,483.0,858.0,486.0,847.0,484.0,-1.0,-1.0,0.0,0.0
831.0,515.0,858.0,486.0,844.0,500.0,-1.0,-1.0,0.0,0.0
836.0,509.0,863.0,490.0,849.0,499.0,3.07,3.19,0.0,0.0
836.0,509.0,878.0,476.0,857.0,492.0,-1.0,-1.0,0.0,0.0
842.0,491.0,878.0,496.0,860.0,493.0,-1.0,-1.0,0.0,0.0
844.0,480.0,877.0,507.0,860.0,493.0,3.04,3.24,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
844.0,480.0,870.0,520.0,857.0,500.0,-1.0,-1.0,0.0,0.0
843.0,479.0,877.0,493.0,860.0,486.0,2.99,3.17,0.0,0.0
827.0,484.0,875.0,484.0,851.0,484.0,-1.0,-1.0,0.0,0.0
823.0,496.0,877.0,449.0,850.0,472.0,-1.0,-1.0,0.0,0.0
820.0,497.0,877.0,447.0,848.0,472.0,2.96,3.11,0.0,0.0
833.0,498.0,885.0,480.0,859.0,489.0,-1.0,-1.0,0.0,0.0
828.0,513.0,876.0,486.0,852.0,499.0,-1.0,-1.0,0.0,0.0
829.0,512.0,872.0,487.0,850.0,499.0,3.01,3.16,0.0,0.0
825.0,515.0,871.0,474.0,848.0,494.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
824.0,499.0,873.0,472.0,848.0,485.0,3.25,3.12,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
824.0,491.0,863.0,461.0,843.0,476.0,-1.0,-1.0,0.0,0.0
820.0,505.0,858.0,463.0,839.0,484.0,3.26,3.08,0.0,0.0
