GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
768.0,305.0,778.0,285.0,773.0,295.0,2.98,3.01,0.0,0.0
756.0,281.0,760.0,304.0,758.0,292.0,-1.0,-1.0,0.0,0.0
768.0,333.0,760.0,304.0,764.0,318.0,-1.0,-1.0,0.0,0.0
764.0,327.0,778.0,293.0,771.0,310.0,3.0,3.05,0.0,0.0
759.0,312.0,773.0,280.0,766.0,296.0,-1.0,-1.0,0.0,0.0
745.0,306.0,782.0,285.0,763.0,295.0,-1.0,-1.0,0.0,0.0
746.0,304.0,779.0,290.0,762.0,297.0,3.02,3.08,0.0,0.0
748.0,319.0,789.0,304.0,768.0,311.0,-1.0,-1.0,0.0,0.0
742.0,330.0,792.0,297.0,767.0,313.0,-1.0,-1.0,0.0,0.0
742.0,330.0,788.0,304.0,765.0,317.0,3.06,3.05,0.0,0.0
752.0,344.0,781.0,287.0,766.0,315.0,-1.0,-1.0,0.0,0.0
755.0,361.0,755.0,346.0,755.0,353.0,-1.0,-1.0,0.0,0.0
754.0,345.0,765.0,340.0,759.0,342.0,3.03,3.1,0.0,0.0
744.0,325.0,765.0,340.0,754.0,332.0,-1.0,-1.0,0.0,0.0
747.0,285.0,770.0,308.0,758.0,296.0,-1.0,-1.0,0.0,0.0
747.0,286.0,766.0,321.0,756.0,303.0,3.0,3.03,0.0,0.0
756.0,326.0,766.0,321.0,761.0,323.0,-1.0,-1.0,0.0,0.0
749.0,345.0,773.0,280.0,761.0,312.0,-1.0,-1.0,0.0,0.0
755.0,346.0,777.0,292.0,766.0,319.0,3.06,3.13,0.0,0.0
744.0,326.0,786.0,271.0,765.0,298.0,-1.0,-1.0,0.0,0.0
754.0,321.0,783.0,303.0,768.0,312.0,-1.0,-1.0,0.0,0.0
745.0,322.0,781.0,295.0,763.0,308.0,3.03,3.08,0.0,0.0
744.0,330.0,788.0,330.0,766.0,330.0,-1.0,-1.0,0.0,0.0
741.0,298.0,785.0,331.0,763.0,314.0,-1.0,-1.0,0.0,0.0
735.0,307.0,790.0,367.0,762.0,337.0,3.0,3.14,0.0,0.0
747.0,313.0,774.0,319.0,760.0,316.0,-1.0,-1.0,0.0,0.0
747.0,310.0,775.0,316.0,761.0,313.0,-1.0,-1.0,0.0,0.0
754.0,339.0,758.0,297.0,756.0,318.0,3.13,3.01,0.0,0.0
751.0,325.0,769.0,316.0,760.0,320.0,-1.0,-1.0,0.0,0.0
747.0,326.0,782.0,352.0,764.0,339.0,-1.0,-1.0,0.0,0.0
754.0,333.0,783.0,347.0,768.0,340.0,3.03,3.11,0.0,0.0
