GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
377.0,370.0,396.0,392.0,386.0,381.0,3.35,3.18,0.0,0.0
338.0,370.0,348.0,380.0,343.0,375.0,-1.0,-1.0,0.0,0.0
284.0,347.0,273.0,356.0,278.0,351.0,-1.0,-1.0,0.0,0.0
267.0,350.0,271.0,356.0,269.0,353.0,3.34,3.17,0.0,0.0
273.0,361.0,273.0,361.0,273.0,361.0,-1.0,-1.0,0.0,0.0
259.0,370.0,276.0,355.0,267.0,362.0,-1.0,-1.0,0.0,0.0
265.0,370.0,280.0,382.0,272.0,376.0,3.27,3.27,0.0,0.0
265.0,373.0,265.0,373.0,265.0,373.0,-1.0,-1.0,0.0,0.0
269.0,373.0,274.0,369.0,271.0,371.0,-1.0,-1.0,0.0,0.0
271.0,384.0,267.0,357.0,269.0,370.0,3.39,3.38,0.0,0.0
272.0,381.0,272.0,381.0,272.0,381.0,-1.0,-1.0,0.0,0.0
277.0,380.0,306.0,410.0,291.0,395.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
273.0,381.0,284.0,391.0,278.0,386.0,-1.0,-1.0,0.0,0.0
268.0,382.0,280.0,373.0,274.0,377.0,-1.0,-1.0,0.0,0.0
264.0,368.0,267.0,355.0,265.0,361.0,3.28,3.27,0.0,0.0
261.0,365.0,261.0,347.0,261.0,356.0,-1.0,-1.0,0.0,0.0
269.0,357.0,267.0,371.0,268.0,364.0,-1.0,-1.0,0.0,0.0
277.0,363.0,268.0,370.0,272.0,366.0,3.29,3.26,0.0,0.0
282.0,371.0,275.0,376.0,278.0,373.0,-1.0,-1.0,0.0,0.0
274.0,387.0,284.0,370.0,279.0,378.0,-1.0,-1.0,0.0,0.0
268.0,387.0,287.0,368.0,277.0,377.0,3.33,3.27,0.0,0.0
271.0,386.0,278.0,369.0,274.0,377.0,-1.0,-1.0,0.0,0.0
268.0,382.0,285.0,351.0,276.0,366.0,-1.0,-1.0,0.0,0.0
267.0,375.0,273.0,378.0,270.0,376.0,3.28,3.25,0.0,0.0
272.0,392.0,283.0,341.0,277.0,366.0,-1.0,-1.0,0.0,0.0
268.0,382.0,287.0,387.0,277.0,384.0,-1.0,-1.0,0.0,0.0
268.0,380.0,289.0,391.0,278.0,385.0,3.28,3.2,0.0,0.0
268.0,382.0,284.0,388.0,276.0,385.0,-1.0,-1.0,0.0,0.0
268.0,389.0,282.0,385.0,275.0,387.0,-1.0,-1.0,0.0,0.0
269.0,389.0,283.0,384.0,276.0,386.0,3.26,3.19,0.0,0.0
264.0,378.0,274.0,393.0,269.0,385.0,-1.0,-1.0,0.0,0.0
256.0,366.0,289.0,395.0,272.0,380.0,-1.0,-1.0,0.0,0.0
334.0,392.0,349.0,403.0,341.0,397.0,3.29,3.28,0.0,0.0
444.0,406.0,450.0,413.0,447.0,409.0,-1.0,-1.0,0.0,0.0
534.0,424.0,551.0,399.0,542.0,411.0,-1.0,-1.0,0.0,0.0
580.0,417.0,626.0,391.0,603.0,404.0,3.29,3.22,0.0,0.0
596.0,420.0,626.0,391.0,611.0,405.0,-1.0,-1.0,0.0,0.0
598.0,404.0,579.0,380.0,588.0,392.0,-1.0,-1.0,0.0,0.0
596.0,402.0,573.0,383.0,584.0,392.0,3.31,3.23,0.0,0.0
595.0,401.0,579.0,394.0,587.0,397.0,-1.0,-1.0,0.0,0.0
583.0,367.0,594.0,405.0,588.0,386.0,-1.0,-1.0,0.0,0.0
583.0,367.0,603.0,407.0,593.0,387.0,3.31,3.25,0.0,0.0
602.0,399.0,601.0,402.0,601.0,400.0,-1.0,-1.0,0.0,0.0
598.0,395.0,593.0,408.0,595.0,401.0,-1.0,-1.0,0.0,0.0
598.0,396.0,591.0,409.0,594.0,402.0,3.3,3.23,0.0,0.0
599.0,401.0,591.0,406.0,595.0,403.0,-1.0,-1.0,0.0,0.0
599.0,401.0,597.0,409.0,598.0,405.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
598.0,403.0,592.0,412.0,595.0,407.0,-1.0,-1.0,0.0,0.0
597.0,404.0,596.0,373.0,596.0,388.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
598.0,406.0,594.0,348.0,596.0,377.0,-1.0,-1.0,0.0,0.0
576.0,383.0,592.0,400.0,584.0,391.0,-1.0,-1.0,0.0,0.0
581.0,380.0,597.0,378.0,589.0,379.0,3.28,3.19,0.0,0.0
575.0,372.0,601.0,403.0,588.0,387.0,-1.0,-1.0,0.0,0.0
586.0,374.0,600.0,402.0,593.0,388.0,-1.0,-1.0,0.0,0.0
583.0,370.0,602.0,403.0,592.0,386.0,3.33,3.2,0.0,0.0
583.0,369.0,587.0,386.0,585.0,377.0,-1.0,-1.0,0.0,0.0
571.0,359.0,582.0,377.0,576.0,368.0,-1.0,-1.0,0.0,0.0
573.0,362.0,579.0,378.0,576.0,370.0,3.3,3.21,0.0,0.0
591.0,378.0,595.0,394.0,593.0,386.0,-1.0,-1.0,0.0,0.0
596.0,381.0,591.0,400.0,593.0,390.0,-1.0,-1.0,0.0,0.0
599.0,387.0,599.0,395.0,599.0,391.0,3.31,3.2,0.0,0.0
602.0,397.0,600.0,415.0,601.0,406.0,-1.0,-1.0,0.0,0.0
635.0,427.0,639.0,431.0,637.0,429.0,-1.0,-1.0,0.0,0.0
721.0,489.0,725.0,494.0,723.0,491.0,3.43,3.29,0.0,0.0
842.0,570.0,845.0,576.0,843.0,573.0,-1.0,-1.0,0.0,0.0
954.0,620.0,973.0,643.0,963.0,631.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
987.0,638.0,1084.0,704.0,1035.0,671.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1060.0,707.0,1079.0,719.0,1069.0,713.0,3.43,3.27,0.0,0.0
1057.0,701.0,1070.0,759.0,1063.0,730.0,-1.0,-1.0,0.0,0.0
1062.0,709.0,1070.0,759.0,1066.0,734.0,-1.0,-1.0,0.0,0.0
1059.0,703.0,1106.0,733.0,1082.0,718.0,3.41,3.18,0.0,0.0
1070.0,676.0,1109.0,728.0,1089.0,702.0,-1.0,-1.0,0.0,0.0
1065.0,687.0,1091.0,736.0,1078.0,711.0,-1.0,-1.0,0.0,0.0
1067.0,676.0,1085.0,742.0,1076.0,709.0,3.26,3.23,0.0,0.0
1069.0,679.0,1077.0,734.0,1073.0,706.0,-1.0,-1.0,0.0,0.0
1072.0,686.0,1087.0,737.0,1079.0,711.0,-1.0,-1.0,0.0,0.0
1063.0,713.0,1085.0,742.0,1074.0,727.0,3.42,3.22,0.0,0.0
1026.0,751.0,1101.0,750.0,1063.0,750.0,-1.0,-1.0,0.0,0.0
984.0,785.0,1037.0,818.0,1010.0,801.0,-1.0,-1.0,0.0,0.0
1019.0,850.0,1019.0,850.0,1019.0,850.0,3.19,3.19,0.0,0.0
1006.0,763.0,1006.0,763.0,1006.0,763.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
975.0,767.0,975.0,767.0,975.0,767.0,-1.0,-1.0,0.0,0.0
778.0,975.0,778.0,975.0,778.0,975.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
796.0,774.0,796.0,774.0,796.0,774.0,-1.0,-1.0,0.0,0.0
750.0,773.0,750.0,773.0,750.0,773.0,-1.0,-1.0,0.0,0.0
