GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
496.0,372.0,495.0,357.0,495.0,364.0,-1.0,-1.0,0.0,0.0
510.0,370.0,510.0,356.0,510.0,363.0,2.73,2.7,0.0,0.0
533.0,388.0,495.0,353.0,514.0,370.0,-1.0,-1.0,0.0,0.0
524.0,393.0,488.0,353.0,506.0,373.0,-1.0,-1.0,0.0,0.0
547.0,406.0,487.0,346.0,517.0,376.0,2.78,2.65,0.0,0.0
546.0,406.0,490.0,346.0,518.0,376.0,-1.0,-1.0,0.0,0.0
557.0,415.0,506.0,355.0,531.0,385.0,-1.0,-1.0,0.0,0.0
559.0,417.0,511.0,378.0,535.0,397.0,2.79,2.74,0.0,0.0
559.0,417.0,505.0,380.0,532.0,398.0,-1.0,-1.0,0.0,0.0
533.0,410.0,505.0,374.0,519.0,392.0,-1.0,-1.0,0.0,0.0
531.0,399.0,501.0,350.0,516.0,374.0,2.77,2.68,0.0,0.0
527.0,405.0,491.0,352.0,509.0,378.0,-1.0,-1.0,0.0,0.0
531.0,394.0,497.0,370.0,514.0,382.0,-1.0,-1.0,0.0,0.0
553.0,413.0,499.0,371.0,526.0,392.0,2.82,2.7,0.0,0.0
552.0,413.0,506.0,364.0,529.0,388.0,-1.0,-1.0,0.0,0.0
554.0,405.0,506.0,323.0,530.0,364.0,-1.0,-1.0,0.0,0.0
554.0,436.0,513.0,334.0,533.0,385.0,2.65,2.76,0.0,0.0
554.0,436.0,525.0,341.0,539.0,388.0,-1.0,-1.0,0.0,0.0
552.0,441.0,514.0,366.0,533.0,403.0,-1.0,-1.0,0.0,0.0
557.0,443.0,507.0,366.0,532.0,404.0,2.76,2.75,0.0,0.0
557.0,443.0,503.0,377.0,530.0,410.0,-1.0,-1.0,0.0,0.0
550.0,437.0,503.0,362.0,526.0,399.0,-1.0,-1.0,0.0,0.0
539.0,400.0,504.0,346.0,521.0,373.0,2.7,2.71,0.0,0.0
525.0,376.0,502.0,330.0,513.0,353.0,-1.0,-1.0,0.0,0.0
528.0,389.0,511.0,333.0,519.0,361.0,-1.0,-1.0,0.0,0.0
533.0,403.0,513.0,336.0,523.0,369.0,2.83,2.7,0.0,0.0
543.0,412.0,515.0,322.0,529.0,367.0,-1.0,-1.0,0.0,0.0
561.0,417.0,508.0,304.0,534.0,360.0,-1.0,-1.0,0.0,0.0
545.0,397.0,511.0,311.0,528.0,354.0,2.85,2.75,0.0,0.0
546.0,401.0,512.0,364.0,529.0,382.0,-1.0,-1.0,0.0,0.0
550.0,378.0,515.0,372.0,532.0,375.0,-1.0,-1.0,0.0,0.0
550.0,373.0,514.0,372.0,532.0,372.0,2.8,2.72,0.0,0.0
531.0,365.0,524.0,380.0,527.0,372.0,-1.0,-1.0,0.0,0.0
522.0,388.0,529.0,363.0,525.0,375.0,-1.0,-1.0,0.0,0.0
526.0,406.0,525.0,386.0,525.0,396.0,2.91,2.76,0.0,0.0
536.0,407.0,517.0,355.0,526.0,381.0,-1.0,-1.0,0.0,0.0
552.0,451.0,480.0,339.0,516.0,395.0,-1.0,-1.0,0.0,0.0
524.0,402.0,480.0,339.0,502.0,370.0,2.82,2.71,0.0,0.0
532.0,405.0,523.0,359.0,527.0,382.0,-1.0,-1.0,0.0,0.0
531.0,386.0,534.0,366.0,532.0,376.0,-1.0,-1.0,0.0,0.0
664.0,418.0,647.0,385.0,655.0,401.0,2.74,2.74,0.0,0.0
801.0,439.0,750.0,384.0,775.0,411.0,-1.0,-1.0,0.0,0.0
892.0,392.0,855.0,380.0,873.0,386.0,-1.0,-1.0,0.0,0.0
934.0,406.0,934.0,406.0,934.0,406.0,2.9,2.9,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
948.0,411.0,846.0,372.0,897.0,391.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
965.0,408.0,938.0,418.0,951.0,413.0,-1.0,-1.0,0.0,0.0
952.0,427.0,976.0,419.0,964.0,423.0,-1.0,-1.0,0.0,0.0
958.0,419.0,967.0,420.0,962.0,419.0,2.89,2.83,0.0,0.0
938.0,429.0,954.0,401.0,946.0,415.0,-1.0,-1.0,0.0,0.0
938.0,429.0,925.0,416.0,931.0,422.0,-1.0,-1.0,0.0,0.0
945.0,424.0,924.0,399.0,934.0,411.0,2.87,2.81,0.0,0.0
958.0,412.0,918.0,361.0,938.0,386.0,-1.0,-1.0,0.0,0.0
950.0,420.0,937.0,334.0,943.0,377.0,-1.0,-1.0,0.0,0.0
967.0,411.0,940.0,326.0,953.0,368.0,2.91,2.73,0.0,0.0
946.0,380.0,950.0,361.0,948.0,370.0,-1.0,-1.0,0.0,0.0
956.0,369.0,964.0,352.0,960.0,360.0,-1.0,-1.0,0.0,0.0
958.0,376.0,949.0,381.0,953.0,378.0,2.94,2.8,0.0,0.0
951.0,375.0,943.0,377.0,947.0,376.0,-1.0,-1.0,0.0,0.0
943.0,368.0,939.0,366.0,941.0,367.0,-1.0,-1.0,0.0,0.0
910.0,314.0,920.0,305.0,915.0,309.0,3.03,2.79,0.0,0.0
880.0,234.0,891.0,193.0,885.0,213.0,-1.0,-1.0,0.0,0.0
839.0,135.0,826.0,75.0,832.0,105.0,-1.0,-1.0,0.0,0.0
821.0,75.0,792.0,30.0,806.0,52.0,3.1,3.01,0.0,0.0
793.0,119.0,796.0,77.0,794.0,98.0,-1.0,-1.0,0.0,0.0
793.0,119.0,791.0,74.0,792.0,96.0,-1.0,-1.0,0.0,0.0
813.0,116.0,789.0,72.0,801.0,94.0,3.15,2.94,0.0,0.0
805.0,78.0,774.0,14.0,789.0,46.0,-1.0,-1.0,0.0,0.0
809.0,40.0,745.0,-17.0,777.0,11.0,-1.0,-1.0,0.0,0.0
805.0,47.0,737.0,-9.0,771.0,19.0,3.14,3.02,0.0,0.0
775.0,110.0,720.0,-9.0,747.0,50.0,-1.0,-1.0,0.0,0.0
775.0,110.0,768.0,22.0,771.0,66.0,-1.0,-1.0,0.0,0.0
775.0,94.0,774.0,7.0,774.0,50.0,3.03,2.84,0.0,0.0
822.0,56.0,775.0,11.0,798.0,33.0,-1.0,-1.0,0.0,0.0
802.0,54.0,764.0,3.0,783.0,28.0,-1.0,-1.0,0.0,0.0
801.0,55.0,783.0,18.0,792.0,36.0,3.05,2.91,0.0,0.0
800.0,50.0,762.0,3.0,781.0,26.0,-1.0,-1.0,0.0,0.0
802.0,53.0,756.0,8.0,779.0,30.0,-1.0,-1.0,0.0,0.0
806.0,44.0,747.0,0.0,776.0,22.0,2.93,2.81,0.0,0.0
