GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
328.0,454.0,337.0,442.0,332.0,448.0,-1.0,-1.0,0.0,0.0
330.0,464.0,342.0,425.0,336.0,444.0,-1.0,-1.0,0.0,0.0
329.0,465.0,351.0,446.0,340.0,455.0,3.67,3.61,0.0,0.0
320.0,459.0,346.0,439.0,333.0,449.0,-1.0,-1.0,0.0,0.0
325.0,455.0,347.0,460.0,336.0,457.0,-1.0,-1.0,0.0,0.0
328.0,461.0,349.0,461.0,338.0,461.0,3.65,3.59,0.0,0.0
344.0,468.0,353.0,445.0,348.0,456.0,-1.0,-1.0,0.0,0.0
332.0,470.0,352.0,451.0,342.0,460.0,-1.0,-1.0,0.0,0.0
332.0,470.0,351.0,449.0,341.0,459.0,3.65,3.6,0.0,0.0
330.0,477.0,350.0,441.0,340.0,459.0,-1.0,-1.0,0.0,0.0
343.0,489.0,350.0,441.0,346.0,465.0,-1.0,-1.0,0.0,0.0
340.0,472.0,345.0,446.0,342.0,459.0,3.64,3.56,0.0,0.0
331.0,465.0,349.0,451.0,340.0,458.0,-1.0,-1.0,0.0,0.0
325.0,455.0,344.0,448.0,334.0,451.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
321.0,450.0,337.0,434.0,329.0,442.0,-1.0,-1.0,0.0,0.0
324.0,452.0,333.0,426.0,328.0,439.0,-1.0,-1.0,0.0,0.0
320.0,447.0,334.0,423.0,327.0,435.0,3.61,3.56,0.0,0.0
323.0,450.0,334.0,433.0,328.0,441.0,-1.0,-1.0,0.0,0.0
323.0,450.0,337.0,446.0,330.0,448.0,-1.0,-1.0,0.0,0.0
329.0,454.0,337.0,446.0,333.0,450.0,3.66,3.55,0.0,0.0
332.0,448.0,334.0,435.0,333.0,441.0,-1.0,-1.0,0.0,0.0
334.0,452.0,327.0,437.0,330.0,444.0,-1.0,-1.0,0.0,0.0
335.0,449.0,323.0,434.0,329.0,441.0,3.62,3.51,0.0,0.0
335.0,449.0,340.0,442.0,337.0,445.0,-1.0,-1.0,0.0,0.0
329.0,444.0,341.0,438.0,335.0,441.0,-1.0,-1.0,0.0,0.0
330.0,443.0,346.0,442.0,338.0,442.0,3.63,3.56,0.0,0.0
332.0,453.0,341.0,444.0,336.0,448.0,-1.0,-1.0,0.0,0.0
337.0,458.0,345.0,437.0,341.0,447.0,-1.0,-1.0,0.0,0.0
327.0,467.0,333.0,422.0,330.0,444.0,3.63,3.5,0.0,0.0
327.0,463.0,333.0,422.0,330.0,442.0,-1.0,-1.0,0.0,0.0
317.0,455.0,342.0,408.0,329.0,431.0,-1.0,-1.0,0.0,0.0
376.0,389.0,382.0,377.0,379.0,383.0,3.66,3.55,0.0,0.0
441.0,322.0,447.0,327.0,444.0,324.0,-1.0,-1.0,0.0,0.0
502.0,293.0,496.0,259.0,499.0,276.0,-1.0,-1.0,0.0,0.0
