GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
815.0,458.0,815.0,458.0,815.0,458.0,-1.0,-1.0,0.0,0.0
738.0,595.0,738.0,595.0,738.0,595.0,2.71,2.71,0.0,0.0
729.0,592.0,789.0,464.0,759.0,528.0,-1.0,-1.0,0.0,0.0
735.0,583.0,747.0,537.0,741.0,560.0,-1.0,-1.0,0.0,0.0
744.0,564.0,744.0,564.0,744.0,564.0,2.6,2.6,0.0,0.0
757.0,558.0,757.0,558.0,757.0,558.0,-1.0,-1.0,0.0,0.0
762.0,545.0,751.0,536.0,756.0,540.0,-1.0,-1.0,0.0,0.0
751.0,539.0,751.0,539.0,751.0,539.0,2.59,2.59,0.0,0.0
763.0,547.0,731.0,497.0,747.0,522.0,-1.0,-1.0,0.0,0.0
767.0,550.0,753.0,496.0,760.0,523.0,-1.0,-1.0,0.0,0.0
776.0,560.0,776.0,560.0,776.0,560.0,2.58,2.58,0.0,0.0
780.0,571.0,791.0,498.0,785.0,534.0,-1.0,-1.0,0.0,0.0
780.0,571.0,771.0,496.0,775.0,533.0,-1.0,-1.0,0.0,0.0
781.0,578.0,781.0,578.0,781.0,578.0,2.61,2.61,0.0,0.0
788.0,584.0,764.0,497.0,776.0,540.0,-1.0,-1.0,0.0,0.0
788.0,584.0,788.0,584.0,788.0,584.0,-1.0,-1.0,0.0,0.0
776.0,545.0,776.0,545.0,776.0,545.0,2.65,2.65,0.0,0.0
780.0,548.0,870.0,419.0,825.0,483.0,-1.0,-1.0,0.0,0.0
879.0,424.0,879.0,424.0,879.0,424.0,-1.0,-1.0,0.0,0.0
801.0,603.0,801.0,603.0,801.0,603.0,2.69,2.69,0.0,0.0
777.0,561.0,777.0,561.0,777.0,561.0,-1.0,-1.0,0.0,0.0
859.0,457.0,859.0,457.0,859.0,457.0,-1.0,-1.0,0.0,0.0
768.0,490.0,768.0,490.0,768.0,490.0,2.51,2.51,0.0,0.0
768.0,490.0,790.0,563.0,779.0,526.0,-1.0,-1.0,0.0,0.0
808.0,567.0,808.0,567.0,808.0,567.0,-1.0,-1.0,0.0,0.0
790.0,583.0,790.0,583.0,790.0,583.0,2.62,2.62,0.0,0.0
792.0,586.0,803.0,558.0,797.0,572.0,-1.0,-1.0,0.0,0.0
761.0,571.0,761.0,571.0,761.0,571.0,-1.0,-1.0,0.0,0.0
789.0,594.0,789.0,594.0,789.0,594.0,2.62,2.62,0.0,0.0
792.0,589.0,764.0,592.0,778.0,590.0,-1.0,-1.0,0.0,0.0
794.0,589.0,766.0,569.0,780.0,579.0,-1.0,-1.0,0.0,0.0
784.0,574.0,784.0,574.0,784.0,574.0,2.67,2.67,0.0,0.0
771.0,560.0,775.0,554.0,773.0,557.0,-1.0,-1.0,0.0,0.0
761.0,538.0,757.0,501.0,759.0,519.0,-1.0,-1.0,0.0,0.0
729.0,473.0,729.0,473.0,729.0,473.0,2.71,2.71,0.0,0.0
665.0,368.0,715.0,450.0,690.0,409.0,-1.0,-1.0,0.0,0.0
619.0,278.0,657.0,184.0,638.0,231.0,-1.0,-1.0,0.0,0.0
592.0,257.0,592.0,257.0,592.0,257.0,2.63,2.63,0.0,0.0
591.0,214.0,621.0,180.0,606.0,197.0,-1.0,-1.0,0.0,0.0
608.0,246.0,591.0,217.0,599.0,231.0,-1.0,-1.0,0.0,0.0
600.0,236.0,600.0,236.0,600.0,236.0,2.5,2.5,0.0,0.0
604.0,259.0,628.0,216.0,616.0,237.0,-1.0,-1.0,0.0,0.0
614.0,247.0,643.0,175.0,628.0,211.0,-1.0,-1.0,0.0,0.0
613.0,235.0,613.0,235.0,613.0,235.0,2.65,2.65,0.0,0.0
608.0,133.0,608.0,133.0,608.0,133.0,-1.0,-1.0,0.0,0.0
593.0,231.0,595.0,134.0,594.0,182.0,-1.0,-1.0,0.0,0.0
593.0,236.0,593.0,236.0,593.0,236.0,2.68,2.68,0.0,0.0
611.0,239.0,600.0,142.0,605.0,190.0,-1.0,-1.0,0.0,0.0
618.0,247.0,612.0,144.0,615.0,195.0,-1.0,-1.0,0.0,0.0
619.0,247.0,619.0,247.0,619.0,247.0,2.64,2.64,0.0,0.0
609.0,253.0,630.0,154.0,619.0,203.0,-1.0,-1.0,0.0,0.0
606.0,248.0,628.0,139.0,617.0,193.0,-1.0,-1.0,0.0,0.0
608.0,250.0,608.0,250.0,608.0,250.0,2.56,2.56,0.0,0.0
608.0,250.0,631.0,164.0,619.0,207.0,-1.0,-1.0,0.0,0.0
609.0,241.0,628.0,163.0,618.0,202.0,-1.0,-1.0,0.0,0.0
606.0,236.0,606.0,236.0,606.0,236.0,2.52,2.52,0.0,0.0
616.0,244.0,603.0,157.0,609.0,200.0,-1.0,-1.0,0.0,0.0
612.0,269.0,611.0,162.0,611.0,215.0,-1.0,-1.0,0.0,0.0
606.0,253.0,606.0,253.0,606.0,253.0,2.5,2.5,0.0,0.0
610.0,275.0,608.0,183.0,609.0,229.0,-1.0,-1.0,0.0,0.0
607.0,244.0,601.0,178.0,604.0,211.0,-1.0,-1.0,0.0,0.0
614.0,239.0,614.0,239.0,614.0,239.0,2.59,2.59,0.0,0.0
613.0,241.0,612.0,164.0,612.0,202.0,-1.0,-1.0,0.0,0.0
623.0,247.0,620.0,174.0,621.0,210.0,-1.0,-1.0,0.0,0.0
622.0,246.0,622.0,246.0,622.0,246.0,2.53,2.53,0.0,0.0
622.0,241.0,627.0,177.0,624.0,209.0,-1.0,-1.0,0.0,0.0
619.0,241.0,627.0,168.0,623.0,204.0,-1.0,-1.0,0.0,0.0
614.0,235.0,614.0,235.0,614.0,235.0,2.55,2.55,0.0,0.0
584.0,217.0,604.0,127.0,594.0,172.0,-1.0,-1.0,0.0,0.0
552.0,215.0,482.0,132.0,517.0,173.0,-1.0,-1.0,0.0,0.0
508.0,204.0,508.0,204.0,508.0,204.0,2.75,2.75,0.0,0.0
502.0,182.0,492.0,140.0,497.0,161.0,-1.0,-1.0,0.0,0.0
499.0,187.0,505.0,153.0,502.0,170.0,-1.0,-1.0,0.0,0.0
500.0,187.0,500.0,187.0,500.0,187.0,2.63,2.63,0.0,0.0
496.0,197.0,493.0,165.0,494.0,181.0,-1.0,-1.0,0.0,0.0
494.0,199.0,503.0,166.0,498.0,182.0,-1.0,-1.0,0.0,0.0
496.0,198.0,496.0,198.0,496.0,198.0,2.58,2.58,0.0,0.0
495.0,197.0,514.0,155.0,504.0,176.0,-1.0,-1.0,0.0,0.0
510.0,200.0,507.0,155.0,508.0,177.0,-1.0,-1.0,0.0,0.0
510.0,200.0,510.0,200.0,510.0,200.0,2.62,2.62,0.0,0.0
502.0,190.0,506.0,143.0,504.0,166.0,-1.0,-1.0,0.0,0.0
503.0,178.0,499.0,136.0,501.0,157.0,-1.0,-1.0,0.0,0.0
499.0,173.0,499.0,173.0,499.0,173.0,2.61,2.61,0.0,0.0
498.0,169.0,500.0,142.0,499.0,155.0,-1.0,-1.0,0.0,0.0
496.0,175.0,493.0,137.0,494.0,156.0,-1.0,-1.0,0.0,0.0
498.0,180.0,498.0,180.0,498.0,180.0,2.57,2.57,0.0,0.0
506.0,180.0,506.0,136.0,506.0,158.0,-1.0,-1.0,0.0,0.0
503.0,173.0,518.0,158.0,510.0,165.0,-1.0,-1.0,0.0,0.0
504.0,186.0,513.0,136.0,508.0,161.0,2.61,2.68,0.0,0.0
510.0,188.0,513.0,137.0,511.0,162.0,-1.0,-1.0,0.0,0.0
510.0,190.0,513.0,137.0,511.0,163.0,-1.0,-1.0,0.0,0.0
513.0,186.0,518.0,160.0,515.0,173.0,2.56,2.26,0.0,0.0
507.0,193.0,445.0,122.0,476.0,157.0,-1.0,-1.0,0.0,0.0
505.0,197.0,491.0,145.0,498.0,171.0,-1.0,-1.0,0.0,0.0
500.0,197.0,493.0,148.0,496.0,172.0,2.59,2.27,0.0,0.0
488.0,189.0,452.0,122.0,470.0,155.0,-1.0,-1.0,0.0,0.0
478.0,185.0,439.0,125.0,458.0,155.0,-1.0,-1.0,0.0,0.0
475.0,191.0,475.0,191.0,475.0,191.0,2.63,2.63,0.0,0.0
468.0,165.0,468.0,165.0,468.0,165.0,-1.0,-1.0,0.0,0.0
475.0,190.0,467.0,169.0,471.0,179.0,-1.0,-1.0,0.0,0.0
471.0,181.0,471.0,181.0,471.0,181.0,2.62,2.62,0.0,0.0
462.0,159.0,462.0,159.0,462.0,159.0,-1.0,-1.0,0.0,0.0
468.0,193.0,455.0,168.0,461.0,180.0,-1.0,-1.0,0.0,0.0
467.0,194.0,418.0,164.0,442.0,179.0,2.61,2.23,0.0,0.0
414.0,167.0,414.0,167.0,414.0,167.0,-1.0,-1.0,0.0,0.0
471.0,184.0,459.0,157.0,465.0,170.0,-1.0,-1.0,0.0,0.0
473.0,181.0,473.0,181.0,473.0,181.0,2.64,2.64,0.0,0.0
456.0,152.0,456.0,152.0,456.0,152.0,-1.0,-1.0,0.0,0.0
456.0,178.0,451.0,146.0,453.0,162.0,-1.0,-1.0,0.0,0.0
449.0,190.0,449.0,190.0,449.0,190.0,2.73,2.73,0.0,0.0
