GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),PupilLeft,PupilRight,ValidityLeft,ValidityRight
592.0,694.0,612.0,643.0,602.0,668.0,3.91,4.15,0.0,0.0
575.0,692.0,603.0,668.0,589.0,680.0,-1.0,-1.0,0.0,0.0
570.0,680.0,601.0,675.0,585.0,677.0,-1.0,-1.0,0.0,0.0
574.0,684.0,608.0,679.0,591.0,681.0,3.95,4.18,0.0,0.0
579.0,677.0,626.0,638.0,602.0,657.0,-1.0,-1.0,0.0,0.0
619.0,645.0,619.0,645.0,619.0,645.0,-1.0,-1.0,0.0,0.0
576.0,674.0,612.0,627.0,594.0,650.0,3.92,4.18,0.0,0.0
577.0,684.0,612.0,635.0,594.0,659.0,-1.0,-1.0,0.0,0.0
588.0,705.0,612.0,635.0,600.0,670.0,-1.0,-1.0,0.0,0.0
588.0,705.0,616.0,645.0,602.0,675.0,3.93,4.11,0.0,0.0
576.0,673.0,609.0,646.0,592.0,659.0,-1.0,-1.0,0.0,0.0
577.0,647.0,598.0,656.0,587.0,651.0,-1.0,-1.0,0.0,0.0
575.0,650.0,598.0,653.0,586.0,651.0,3.92,4.14,0.0,0.0
575.0,650.0,600.0,662.0,587.0,656.0,-1.0,-1.0,0.0,0.0
575.0,669.0,603.0,655.0,589.0,662.0,-1.0,-1.0,0.0,0.0
575.0,675.0,604.0,656.0,589.0,665.0,3.89,4.13,0.0,0.0
571.0,675.0,602.0,637.0,586.0,656.0,-1.0,-1.0,0.0,0.0
574.0,669.0,603.0,649.0,588.0,659.0,-1.0,-1.0,0.0,0.0
573.0,672.0,611.0,630.0,592.0,651.0,3.84,4.13,0.0,0.0
575.0,680.0,614.0,634.0,594.0,657.0,-1.0,-1.0,0.0,0.0
574.0,673.0,614.0,634.0,594.0,653.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
579.0,669.0,611.0,660.0,595.0,664.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
570.0,669.0,612.0,660.0,591.0,664.0,3.87,4.15,0.0,0.0
565.0,672.0,613.0,661.0,589.0,666.0,-1.0,-1.0,0.0,0.0
567.0,669.0,615.0,665.0,591.0,667.0,-1.0,-1.0,0.0,0.0
570.0,669.0,617.0,671.0,593.0,670.0,3.83,4.18,0.0,0.0
576.0,666.0,610.0,662.0,593.0,664.0,-1.0,-1.0,0.0,0.0
574.0,680.0,604.0,656.0,589.0,668.0,-1.0,-1.0,0.0,0.0
577.0,678.0,604.0,644.0,590.0,661.0,3.79,4.12,0.0,0.0
565.0,672.0,611.0,655.0,588.0,663.0,-1.0,-1.0,0.0,0.0
560.0,670.0,617.0,649.0,588.0,659.0,-1.0,-1.0,0.0,0.0
560.0,670.0,610.0,660.0,585.0,665.0,3.75,3.96,0.0,0.0
572.0,668.0,604.0,648.0,588.0,658.0,-1.0,-1.0,0.0,0.0
584.0,689.0,607.0,645.0,595.0,667.0,-1.0,-1.0,0.0,0.0
584.0,686.0,613.0,655.0,598.0,670.0,3.71,3.92,0.0,0.0
584.0,683.0,601.0,666.0,592.0,674.0,-1.0,-1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
577.0,665.0,600.0,664.0,588.0,664.0,3.53,3.76,0.0,0.0
591.0,679.0,614.0,650.0,602.0,664.0,-1.0,-1.0,0.0,0.0
579.0,668.0,604.0,669.0,591.0,668.0,-1.0,-1.0,0.0,0.0
578.0,666.0,618.0,643.0,598.0,654.0,3.43,3.64,0.0,0.0
577.0,670.0,607.0,677.0,592.0,673.0,-1.0,-1.0,0.0,0.0
580.0,669.0,607.0,662.0,593.0,665.0,-1.0,-1.0,0.0,0.0
591.0,677.0,595.0,671.0,593.0,674.0,3.42,3.47,0.0,0.0
586.0,666.0,597.0,634.0,591.0,650.0,-1.0,-1.0,0.0,0.0
587.0,658.0,600.0,629.0,593.0,643.0,-1.0,-1.0,0.0,0.0
583.0,657.0,599.0,631.0,591.0,644.0,3.29,3.41,0.0,0.0
580.0,657.0,601.0,641.0,590.0,649.0,-1.0,-1.0,0.0,0.0
578.0,664.0,605.0,635.0,591.0,649.0,-1.0,-1.0,0.0,0.0
578.0,668.0,604.0,623.0,591.0,645.0,3.21,3.31,0.0,0.0
585.0,676.0,605.0,628.0,595.0,652.0,-1.0,-1.0,0.0,0.0
589.0,679.0,589.0,679.0,589.0,679.0,-1.0,-1.0,0.0,0.0
